r,h,k,n,infected,msgs
0,8,32,640,1,32
1,8,32,640,33,1056
2,8,32,640,520,16640
3,8,32,640,640,20480
4,8,32,640,640,20480
5,8,32,640,640,20480
6,8,32,640,640,20480
7,8,32,640,640,20480
8,8,32,640,640,20480
9,8,32,640,640,20480
10,8,32,640,640,20480
11,8,32,640,640,20480
12,8,32,640,640,20480
13,8,32,640,640,20480
14,8,32,640,640,20480
15,8,32,640,640,20480
16,8,32,640,640,20480
17,8,32,640,640,20480
18,8,32,640,640,20480
19,8,32,640,640,20480
20,8,32,640,640,20480
21,8,32,640,640,20480
22,8,32,640,640,20480
23,8,32,640,640,20480
24,8,32,640,640,20480
25,8,32,640,640,20480
26,8,32,640,640,20480
27,8,32,640,640,20480
28,8,32,640,640,20480
29,8,32,640,640,20480
30,8,32,640,640,20480
31,8,32,640,640,20480
32,8,32,640,640,20480
33,8,32,640,640,20480
34,8,32,640,640,20480
35,8,32,640,640,20480
36,8,32,640,640,20480
37,8,32,640,640,20480
38,8,32,640,640,20480
39,8,32,640,640,20480
40,8,32,640,640,20480
41,8,32,640,640,20480
42,8,32,640,640,20480
43,8,32,640,640,20480
44,8,32,640,640,20480
45,8,32,640,640,20480
46,8,32,640,640,20480
47,8,32,640,640,20480
48,8,32,640,640,20480
49,8,32,640,640,20480
50,8,32,640,640,20480
51,8,32,640,640,20480
52,8,32,640,640,20480
53,8,32,640,640,20480
54,8,32,640,640,20480
55,8,32,640,640,20480
56,8,32,640,640,20480
57,8,32,640,640,20480
58,8,32,640,640,20480
59,8,32,640,640,20480
60,8,32,640,640,20480
61,8,32,640,640,20480
62,8,32,640,640,20480
63,8,32,640,640,20480
64,8,32,640,640,20480
65,8,32,640,640,20480
66,8,32,640,640,20480
67,8,32,640,640,20480
68,8,32,640,640,20480
69,8,32,640,640,20480
70,8,32,640,640,20480
71,8,32,640,640,20480
72,8,32,640,640,20480
73,8,32,640,640,20480
74,8,32,640,640,20480
75,8,32,640,640,20480
76,8,32,640,640,20480
77,8,32,640,640,20480
78,8,32,640,640,20480
79,8,32,640,640,20480
80,8,32,640,640,20480
81,8,32,640,640,20480
82,8,32,640,640,20480
83,8,32,640,640,20480
84,8,32,640,640,20480
85,8,32,640,640,20480
86,8,32,640,640,20480
87,8,32,640,640,20480
88,8,32,640,640,20480
89,8,32,640,640,20480
90,8,32,640,640,20480
91,8,32,640,640,20480
92,8,32,640,640,20480
93,8,32,640,640,20480
