r,h,k,n,infected,msgs
0,8,8,640,1,8
1,8,8,640,9,72
2,8,8,640,71,568
3,8,8,640,367,2936
4,8,8,640,635,5080
5,8,8,640,640,5120
6,8,8,640,640,5120
7,8,8,640,640,5120
8,8,8,640,640,5120
9,8,8,640,640,5120
10,8,8,640,640,5120
11,8,8,640,640,5120
12,8,8,640,640,5120
13,8,8,640,640,5120
14,8,8,640,640,5120
15,8,8,640,640,5120
16,8,8,640,640,5120
17,8,8,640,640,5120
18,8,8,640,640,5120
19,8,8,640,640,5120
20,8,8,640,640,5120
21,8,8,640,640,5120
22,8,8,640,640,5120
23,8,8,640,640,5120
24,8,8,640,640,5120
25,8,8,640,640,5120
26,8,8,640,640,5120
27,8,8,640,640,5120
28,8,8,640,640,5120
29,8,8,640,640,5120
30,8,8,640,640,5120
31,8,8,640,640,5120
32,8,8,640,640,5120
33,8,8,640,640,5120
34,8,8,640,640,5120
35,8,8,640,640,5120
36,8,8,640,640,5120
37,8,8,640,640,5120
38,8,8,640,640,5120
39,8,8,640,640,5120
40,8,8,640,640,5120
41,8,8,640,640,5120
42,8,8,640,640,5120
43,8,8,640,640,5120
44,8,8,640,640,5120
45,8,8,640,640,5120
46,8,8,640,640,5120
47,8,8,640,640,5120
48,8,8,640,640,5120
49,8,8,640,640,5120
50,8,8,640,640,5120
51,8,8,640,640,5120
52,8,8,640,640,5120
53,8,8,640,640,5120
54,8,8,640,640,5120
55,8,8,640,640,5120
56,8,8,640,640,5120
57,8,8,640,640,5120
58,8,8,640,640,5120
59,8,8,640,640,5120
60,8,8,640,640,5120
61,8,8,640,640,5120
62,8,8,640,640,5120
63,8,8,640,640,5120
64,8,8,640,640,5120
65,8,8,640,640,5120
66,8,8,640,640,5120
67,8,8,640,640,5120
68,8,8,640,640,5120
69,8,8,640,640,5120
70,8,8,640,640,5120
71,8,8,640,640,5120
72,8,8,640,640,5120
73,8,8,640,640,5120
74,8,8,640,640,5120
75,8,8,640,640,5120
76,8,8,640,640,5120
77,8,8,640,640,5120
