r,h,k,n,infected,msgs
0,3,16,2560,1,16
1,3,16,2560,17,272
2,3,16,2560,262,4192
3,3,16,2560,2059,32944
4,3,16,2560,2560,40960
5,3,16,2560,2560,40960
6,3,16,2560,2560,40960
7,3,16,2560,2560,40960
8,3,16,2560,2560,40960
9,3,16,2560,2560,40960
10,3,16,2560,2560,40960
11,3,16,2560,2560,40960
12,3,16,2560,2560,40960
13,3,16,2560,2560,40960
14,3,16,2560,2560,40960
15,3,16,2560,2560,40960
16,3,16,2560,2560,40960
17,3,16,2560,2560,40960
18,3,16,2560,2560,40960
19,3,16,2560,2560,40960
20,3,16,2560,2560,40960
21,3,16,2560,2560,40960
22,3,16,2560,2560,40960
23,3,16,2560,2560,40960
24,3,16,2560,2560,40960
25,3,16,2560,2560,40960
26,3,16,2560,2560,40960
27,3,16,2560,2560,40960
28,3,16,2560,2560,40960
29,3,16,2560,2560,40960
30,3,16,2560,2560,40960
31,3,16,2560,2560,40960
32,3,16,2560,2560,40960
33,3,16,2560,2560,40960
34,3,16,2560,2560,40960
35,3,16,2560,2560,40960
36,3,16,2560,2560,40960
37,3,16,2560,2560,40960
38,3,16,2560,2560,40960
39,3,16,2560,2560,40960
40,3,16,2560,2560,40960
41,3,16,2560,2560,40960
42,3,16,2560,2560,40960
43,3,16,2560,2560,40960
44,3,16,2560,2560,40960
45,3,16,2560,2560,40960
46,3,16,2560,2560,40960
47,3,16,2560,2560,40960
48,3,16,2560,2560,40960
49,3,16,2560,2560,40960
50,3,16,2560,2560,40960
51,3,16,2560,2560,40960
52,3,16,2560,2560,40960
53,3,16,2560,2560,40960
54,3,16,2560,2560,40960
55,3,16,2560,2560,40960
56,3,16,2560,2560,40960
57,3,16,2560,2560,40960
58,3,16,2560,2560,40960
59,3,16,2560,2560,40960
60,3,16,2560,2560,40960
61,3,16,2560,2560,40960
62,3,16,2560,2560,40960
63,3,16,2560,2560,40960
64,3,16,2560,2560,40960
65,3,16,2560,2560,40960
66,3,16,2560,2560,40960
67,3,16,2560,2560,40960
68,3,16,2560,2560,40960
69,3,16,2560,2560,40960
70,3,16,2560,2560,40960
71,3,16,2560,2560,40960
72,3,16,2560,2560,40960
73,3,16,2560,2560,40960
74,3,16,2560,2560,40960
75,3,16,2560,2560,40960
