r,h,k,n,infected,msgs
0,10,4,640,1,4
1,10,4,640,5,20
2,10,4,640,21,84
3,10,4,640,81,324
4,10,4,640,256,1024
5,10,4,640,516,2064
6,10,4,640,615,2460
7,10,4,640,628,2512
8,10,4,640,630,2520
9,10,4,640,631,2524
10,10,4,640,631,2524
11,10,4,640,640,2560
12,10,4,640,640,2560
13,10,4,640,640,2560
14,10,4,640,640,2560
15,10,4,640,640,2560
16,10,4,640,640,2560
17,10,4,640,640,2560
18,10,4,640,640,2560
19,10,4,640,640,2560
20,10,4,640,640,2560
21,10,4,640,640,2560
22,10,4,640,640,2560
23,10,4,640,640,2560
24,10,4,640,640,2560
25,10,4,640,640,2560
26,10,4,640,640,2560
27,10,4,640,640,2560
28,10,4,640,640,2560
29,10,4,640,640,2560
30,10,4,640,640,2560
31,10,4,640,640,2560
32,10,4,640,640,2560
33,10,4,640,640,2560
34,10,4,640,640,2560
35,10,4,640,640,2560
36,10,4,640,640,2560
37,10,4,640,640,2560
38,10,4,640,640,2560
39,10,4,640,640,2560
40,10,4,640,640,2560
41,10,4,640,640,2560
42,10,4,640,640,2560
43,10,4,640,640,2560
44,10,4,640,640,2560
45,10,4,640,640,2560
46,10,4,640,640,2560
47,10,4,640,640,2560
48,10,4,640,640,2560
49,10,4,640,640,2560
50,10,4,640,640,2560
51,10,4,640,640,2560
52,10,4,640,640,2560
53,10,4,640,640,2560
54,10,4,640,640,2560
55,10,4,640,640,2560
56,10,4,640,640,2560
57,10,4,640,640,2560
58,10,4,640,640,2560
59,10,4,640,640,2560
60,10,4,640,640,2560
61,10,4,640,640,2560
62,10,4,640,640,2560
63,10,4,640,640,2560
64,10,4,640,640,2560
65,10,4,640,640,2560
66,10,4,640,640,2560
67,10,4,640,640,2560
68,10,4,640,640,2560
69,10,4,640,640,2560
70,10,4,640,640,2560
71,10,4,640,640,2560
72,10,4,640,640,2560
73,10,4,640,640,2560
74,10,4,640,640,2560
75,10,4,640,640,2560
76,10,4,640,640,2560
77,10,4,640,640,2560
78,10,4,640,640,2560
79,10,4,640,640,2560
80,10,4,640,640,2560
81,10,4,640,640,2560
82,10,4,640,640,2560
83,10,4,640,640,2560
84,10,4,640,640,2560
85,10,4,640,640,2560
86,10,4,640,640,2560
87,10,4,640,640,2560
88,10,4,640,640,2560
89,10,4,640,640,2560
90,10,4,640,640,2560
91,10,4,640,640,2560
92,10,4,640,640,2560
93,10,4,640,640,2560
94,10,4,640,640,2560
95,10,4,640,640,2560
96,10,4,640,640,2560
97,10,4,640,640,2560
98,10,4,640,640,2560
99,10,4,640,640,2560
100,10,4,640,640,2560
101,10,4,640,640,2560
102,10,4,640,640,2560
103,10,4,640,640,2560
104,10,4,640,640,2560
105,10,4,640,640,2560
106,10,4,640,640,2560
107,10,4,640,640,2560
108,10,4,640,640,2560
109,10,4,640,640,2560
110,10,4,640,640,2560
111,10,4,640,640,2560
112,10,4,640,640,2560
113,10,4,640,640,2560
114,10,4,640,640,2560
115,10,4,640,640,2560
116,10,4,640,640,2560
117,10,4,640,640,2560
118,10,4,640,640,2560
119,10,4,640,640,2560
120,10,4,640,640,2560
121,10,4,640,640,2560
122,10,4,640,640,2560
123,10,4,640,640,2560
124,10,4,640,640,2560
125,10,4,640,640,2560
126,10,4,640,640,2560
127,10,4,640,640,2560
128,10,4,640,640,2560
129,10,4,640,640,2560
130,10,4,640,640,2560
131,10,4,640,640,2560
132,10,4,640,640,2560
133,10,4,640,640,2560
134,10,4,640,640,2560
135,10,4,640,640,2560
136,10,4,640,640,2560
137,10,4,640,640,2560
138,10,4,640,640,2560
139,10,4,640,640,2560
140,10,4,640,640,2560
