r,h,k,n,infected,msgs
0,4,8,2560,1,8
1,4,8,2560,9,72
2,4,8,2560,73,584
3,4,8,2560,520,4160
4,4,8,2560,2079,16632
5,4,8,2560,2560,20480
6,4,8,2560,2560,20480
7,4,8,2560,2560,20480
8,4,8,2560,2560,20480
9,4,8,2560,2560,20480
10,4,8,2560,2560,20480
11,4,8,2560,2560,20480
12,4,8,2560,2560,20480
13,4,8,2560,2560,20480
14,4,8,2560,2560,20480
15,4,8,2560,2560,20480
16,4,8,2560,2560,20480
17,4,8,2560,2560,20480
18,4,8,2560,2560,20480
19,4,8,2560,2560,20480
20,4,8,2560,2560,20480
21,4,8,2560,2560,20480
22,4,8,2560,2560,20480
23,4,8,2560,2560,20480
24,4,8,2560,2560,20480
25,4,8,2560,2560,20480
26,4,8,2560,2560,20480
27,4,8,2560,2560,20480
28,4,8,2560,2560,20480
29,4,8,2560,2560,20480
30,4,8,2560,2560,20480
31,4,8,2560,2560,20480
32,4,8,2560,2560,20480
33,4,8,2560,2560,20480
34,4,8,2560,2560,20480
35,4,8,2560,2560,20480
36,4,8,2560,2560,20480
37,4,8,2560,2560,20480
38,4,8,2560,2560,20480
39,4,8,2560,2560,20480
40,4,8,2560,2560,20480
41,4,8,2560,2560,20480
42,4,8,2560,2560,20480
43,4,8,2560,2560,20480
44,4,8,2560,2560,20480
45,4,8,2560,2560,20480
46,4,8,2560,2560,20480
47,4,8,2560,2560,20480
48,4,8,2560,2560,20480
49,4,8,2560,2560,20480
50,4,8,2560,2560,20480
51,4,8,2560,2560,20480
52,4,8,2560,2560,20480
53,4,8,2560,2560,20480
54,4,8,2560,2560,20480
55,4,8,2560,2560,20480
56,4,8,2560,2560,20480
57,4,8,2560,2560,20480
58,4,8,2560,2560,20480
59,4,8,2560,2560,20480
60,4,8,2560,2560,20480
61,4,8,2560,2560,20480
62,4,8,2560,2560,20480
63,4,8,2560,2560,20480
64,4,8,2560,2560,20480
65,4,8,2560,2560,20480
66,4,8,2560,2560,20480
67,4,8,2560,2560,20480
68,4,8,2560,2560,20480
69,4,8,2560,2560,20480
70,4,8,2560,2560,20480
71,4,8,2560,2560,20480
72,4,8,2560,2560,20480
73,4,8,2560,2560,20480
74,4,8,2560,2560,20480
75,4,8,2560,2560,20480
76,4,8,2560,2560,20480
77,4,8,2560,2560,20480
78,4,8,2560,2560,20480
79,4,8,2560,2560,20480
80,4,8,2560,2560,20480
81,4,8,2560,2560,20480
82,4,8,2560,2560,20480
83,4,8,2560,2560,20480
84,4,8,2560,2560,20480
85,4,8,2560,2560,20480
86,4,8,2560,2560,20480
87,4,8,2560,2560,20480
88,4,8,2560,2560,20480
89,4,8,2560,2560,20480
90,4,8,2560,2560,20480
91,4,8,2560,2560,20480
92,4,8,2560,2560,20480
93,4,8,2560,2560,20480
94,4,8,2560,2560,20480
95,4,8,2560,2560,20480
96,4,8,2560,2560,20480
97,4,8,2560,2560,20480
98,4,8,2560,2560,20480
99,4,8,2560,2560,20480
100,4,8,2560,2560,20480
101,4,8,2560,2560,20480
102,4,8,2560,2560,20480
103,4,8,2560,2560,20480
104,4,8,2560,2560,20480
105,4,8,2560,2560,20480
106,4,8,2560,2560,20480
107,4,8,2560,2560,20480
108,4,8,2560,2560,20480
109,4,8,2560,2560,20480
110,4,8,2560,2560,20480
