r,h,k,n,infected,msgs
0,8,2,160,1,2
1,8,2,160,3,6
2,8,2,160,6,12
3,8,2,160,12,24
4,8,2,160,24,48
5,8,2,160,44,88
6,8,2,160,69,138
7,8,2,160,99,198
8,8,2,160,115,230
9,8,2,160,158,320
10,8,2,160,160,324
11,8,2,160,160,324
12,8,2,160,160,324
13,8,2,160,160,324
14,8,2,160,160,324
15,8,2,160,160,324
16,8,2,160,160,324
17,8,2,160,160,324
18,8,2,160,160,324
19,8,2,160,160,324
20,8,2,160,160,324
21,8,2,160,160,324
22,8,2,160,160,324
23,8,2,160,160,324
24,8,2,160,160,324
25,8,2,160,160,324
26,8,2,160,160,324
27,8,2,160,160,324
28,8,2,160,160,324
29,8,2,160,160,324
30,8,2,160,160,324
31,8,2,160,160,324
32,8,2,160,160,324
33,8,2,160,160,324
34,8,2,160,160,324
35,8,2,160,160,324
36,8,2,160,160,324
37,8,2,160,160,324
38,8,2,160,160,324
39,8,2,160,160,324
40,8,2,160,160,324
41,8,2,160,160,324
42,8,2,160,160,324
43,8,2,160,160,324
44,8,2,160,160,324
45,8,2,160,160,324
46,8,2,160,160,324
47,8,2,160,160,324
48,8,2,160,160,324
49,8,2,160,160,324
50,8,2,160,160,324
51,8,2,160,160,324
52,8,2,160,160,324
53,8,2,160,160,324
54,8,2,160,160,324
55,8,2,160,160,324
56,8,2,160,160,324
57,8,2,160,160,324
58,8,2,160,160,324
59,8,2,160,160,324
60,8,2,160,160,324
61,8,2,160,160,324
62,8,2,160,160,324
63,8,2,160,160,324
64,8,2,160,160,324
65,8,2,160,160,324
66,8,2,160,160,324
67,8,2,160,160,324
68,8,2,160,160,324
69,8,2,160,160,324
70,8,2,160,160,324
71,8,2,160,160,324
72,8,2,160,160,324
73,8,2,160,160,324
74,8,2,160,160,324
75,8,2,160,160,324
76,8,2,160,160,324
77,8,2,160,160,324
78,8,2,160,160,324
79,8,2,160,160,324
80,8,2,160,160,324
81,8,2,160,160,324
82,8,2,160,160,324
83,8,2,160,160,324
84,8,2,160,160,324
85,8,2,160,160,324
86,8,2,160,160,324
87,8,2,160,160,324
88,8,2,160,160,324
89,8,2,160,160,324
90,8,2,160,160,324
91,8,2,160,160,324
92,8,2,160,160,324
93,8,2,160,160,324
94,8,2,160,160,324
95,8,2,160,160,324
96,8,2,160,160,324
97,8,2,160,160,324
98,8,2,160,160,324
99,8,2,160,160,324
100,8,2,160,160,324
101,8,2,160,160,324
102,8,2,160,160,324
103,8,2,160,160,324
104,8,2,160,160,324
105,8,2,160,160,324
106,8,2,160,160,324
107,8,2,160,160,324
108,8,2,160,160,324
