r,h,k,n,infected,msgs
0,3,1,160,1,1
1,3,1,160,2,2
2,3,1,160,3,3
3,3,1,160,4,4
4,3,1,160,10,160
5,3,1,160,15,310
6,3,1,160,32,455
7,3,1,160,72,583
8,3,1,160,122,671
9,3,1,160,155,709
10,3,1,160,160,714
11,3,1,160,160,714
12,3,1,160,160,714
13,3,1,160,160,714
14,3,1,160,160,714
15,3,1,160,160,714
16,3,1,160,160,714
17,3,1,160,160,714
18,3,1,160,160,714
19,3,1,160,160,714
20,3,1,160,160,714
21,3,1,160,160,714
22,3,1,160,160,714
23,3,1,160,160,714
24,3,1,160,160,714
25,3,1,160,160,714
26,3,1,160,160,714
27,3,1,160,160,714
28,3,1,160,160,714
29,3,1,160,160,714
30,3,1,160,160,714
31,3,1,160,160,714
32,3,1,160,160,714
33,3,1,160,160,714
34,3,1,160,160,714
35,3,1,160,160,714
36,3,1,160,160,714
37,3,1,160,160,714
38,3,1,160,160,714
39,3,1,160,160,714
40,3,1,160,160,714
41,3,1,160,160,714
42,3,1,160,160,714
43,3,1,160,160,714
44,3,1,160,160,714
45,3,1,160,160,714
46,3,1,160,160,714
47,3,1,160,160,714
48,3,1,160,160,714
49,3,1,160,160,714
50,3,1,160,160,714
51,3,1,160,160,714
52,3,1,160,160,714
53,3,1,160,160,714
54,3,1,160,160,714
55,3,1,160,160,714
56,3,1,160,160,714
57,3,1,160,160,714
58,3,1,160,160,714
59,3,1,160,160,714
60,3,1,160,160,714
61,3,1,160,160,714
62,3,1,160,160,714
63,3,1,160,160,714
64,3,1,160,160,714
65,3,1,160,160,714
66,3,1,160,160,714
67,3,1,160,160,714
68,3,1,160,160,714
69,3,1,160,160,714
70,3,1,160,160,714
71,3,1,160,160,714
72,3,1,160,160,714
73,3,1,160,160,714
74,3,1,160,160,714
75,3,1,160,160,714
76,3,1,160,160,714
77,3,1,160,160,714
78,3,1,160,160,714
79,3,1,160,160,714
80,3,1,160,160,714
81,3,1,160,160,714
82,3,1,160,160,714
83,3,1,160,160,714
84,3,1,160,160,714
85,3,1,160,160,714
86,3,1,160,160,714
87,3,1,160,160,714
88,3,1,160,160,714
89,3,1,160,160,714
90,3,1,160,160,714
91,3,1,160,160,714
92,3,1,160,160,714
93,3,1,160,160,714
94,3,1,160,160,714
95,3,1,160,160,714
96,3,1,160,160,714
97,3,1,160,160,714
98,3,1,160,160,714
99,3,1,160,160,714
100,3,1,160,160,714
101,3,1,160,160,714
102,3,1,160,160,714
103,3,1,160,160,714
104,3,1,160,160,714
105,3,1,160,160,714
106,3,1,160,160,714
107,3,1,160,160,714
108,3,1,160,160,714
109,3,1,160,160,714
110,3,1,160,160,714
111,3,1,160,160,714
112,3,1,160,160,714
113,3,1,160,160,714
114,3,1,160,160,714
115,3,1,160,160,714
116,3,1,160,160,714
117,3,1,160,160,714
118,3,1,160,160,714
119,3,1,160,160,714
120,3,1,160,160,714
121,3,1,160,160,714
122,3,1,160,160,714
123,3,1,160,160,714
124,3,1,160,160,714
125,3,1,160,160,714
126,3,1,160,160,714
127,3,1,160,160,714
128,3,1,160,160,714
129,3,1,160,160,714
130,3,1,160,160,714
131,3,1,160,160,714
132,3,1,160,160,714
133,3,1,160,160,714
134,3,1,160,160,714
135,3,1,160,160,714
136,3,1,160,160,714
137,3,1,160,160,714
138,3,1,160,160,714
139,3,1,160,160,714
140,3,1,160,160,714
141,3,1,160,160,714
142,3,1,160,160,714
143,3,1,160,160,714
144,3,1,160,160,714
145,3,1,160,160,714
146,3,1,160,160,714
147,3,1,160,160,714
148,3,1,160,160,714
149,3,1,160,160,714
150,3,1,160,160,714
151,3,1,160,160,714
152,3,1,160,160,714
153,3,1,160,160,714
154,3,1,160,160,714
155,3,1,160,160,714
156,3,1,160,160,714
157,3,1,160,160,714
158,3,1,160,160,714
159,3,1,160,160,714
160,3,1,160,160,714
161,3,1,160,160,714
162,3,1,160,160,714
163,3,1,160,160,714
164,3,1,160,160,714
165,3,1,160,160,714
166,3,1,160,160,714
167,3,1,160,160,714
168,3,1,160,160,714
169,3,1,160,160,714
170,3,1,160,160,714
171,3,1,160,160,714
172,3,1,160,160,714
173,3,1,160,160,714
174,3,1,160,160,714
175,3,1,160,160,714
176,3,1,160,160,714
177,3,1,160,160,714
178,3,1,160,160,714
179,3,1,160,160,714
180,3,1,160,160,714
181,3,1,160,160,714
182,3,1,160,160,714
183,3,1,160,160,714
184,3,1,160,160,714
185,3,1,160,160,714
186,3,1,160,160,714
187,3,1,160,160,714
188,3,1,160,160,714
189,3,1,160,160,714
190,3,1,160,160,714
191,3,1,160,160,714
