r,h,k,n,infected,msgs
0,1,32,1280,1,32
1,1,32,1280,33,1056
2,1,32,1280,1255,40960
3,1,32,1280,1280,41760
4,1,32,1280,1280,41760
5,1,32,1280,1280,41760
6,1,32,1280,1280,41760
7,1,32,1280,1280,41760
8,1,32,1280,1280,41760
9,1,32,1280,1280,41760
10,1,32,1280,1280,41760
11,1,32,1280,1280,41760
12,1,32,1280,1280,41760
13,1,32,1280,1280,41760
14,1,32,1280,1280,41760
15,1,32,1280,1280,41760
16,1,32,1280,1280,41760
17,1,32,1280,1280,41760
18,1,32,1280,1280,41760
19,1,32,1280,1280,41760
20,1,32,1280,1280,41760
21,1,32,1280,1280,41760
22,1,32,1280,1280,41760
23,1,32,1280,1280,41760
24,1,32,1280,1280,41760
25,1,32,1280,1280,41760
26,1,32,1280,1280,41760
27,1,32,1280,1280,41760
28,1,32,1280,1280,41760
29,1,32,1280,1280,41760
30,1,32,1280,1280,41760
31,1,32,1280,1280,41760
32,1,32,1280,1280,41760
33,1,32,1280,1280,41760
34,1,32,1280,1280,41760
35,1,32,1280,1280,41760
36,1,32,1280,1280,41760
37,1,32,1280,1280,41760
38,1,32,1280,1280,41760
39,1,32,1280,1280,41760
40,1,32,1280,1280,41760
41,1,32,1280,1280,41760
42,1,32,1280,1280,41760
43,1,32,1280,1280,41760
44,1,32,1280,1280,41760
45,1,32,1280,1280,41760
46,1,32,1280,1280,41760
47,1,32,1280,1280,41760
48,1,32,1280,1280,41760
49,1,32,1280,1280,41760
50,1,32,1280,1280,41760
51,1,32,1280,1280,41760
52,1,32,1280,1280,41760
53,1,32,1280,1280,41760
54,1,32,1280,1280,41760
55,1,32,1280,1280,41760
56,1,32,1280,1280,41760
57,1,32,1280,1280,41760
58,1,32,1280,1280,41760
59,1,32,1280,1280,41760
60,1,32,1280,1280,41760
61,1,32,1280,1280,41760
62,1,32,1280,1280,41760
63,1,32,1280,1280,41760
64,1,32,1280,1280,41760
65,1,32,1280,1280,41760
66,1,32,1280,1280,41760
67,1,32,1280,1280,41760
68,1,32,1280,1280,41760
69,1,32,1280,1280,41760
70,1,32,1280,1280,41760
71,1,32,1280,1280,41760
