r,h,k,n,infected,msgs
0,5,8,160,1,8
1,5,8,160,9,72
2,5,8,160,56,448
3,5,8,160,150,1200
4,5,8,160,160,1280
5,5,8,160,160,1280
6,5,8,160,160,1280
7,5,8,160,160,1280
8,5,8,160,160,1280
9,5,8,160,160,1280
10,5,8,160,160,1280
11,5,8,160,160,1280
12,5,8,160,160,1280
13,5,8,160,160,1280
14,5,8,160,160,1280
15,5,8,160,160,1280
16,5,8,160,160,1280
17,5,8,160,160,1280
18,5,8,160,160,1280
19,5,8,160,160,1280
20,5,8,160,160,1280
21,5,8,160,160,1280
22,5,8,160,160,1280
23,5,8,160,160,1280
24,5,8,160,160,1280
25,5,8,160,160,1280
26,5,8,160,160,1280
27,5,8,160,160,1280
28,5,8,160,160,1280
29,5,8,160,160,1280
30,5,8,160,160,1280
31,5,8,160,160,1280
32,5,8,160,160,1280
33,5,8,160,160,1280
34,5,8,160,160,1280
35,5,8,160,160,1280
36,5,8,160,160,1280
37,5,8,160,160,1280
38,5,8,160,160,1280
39,5,8,160,160,1280
40,5,8,160,160,1280
41,5,8,160,160,1280
42,5,8,160,160,1280
43,5,8,160,160,1280
44,5,8,160,160,1280
45,5,8,160,160,1280
46,5,8,160,160,1280
47,5,8,160,160,1280
48,5,8,160,160,1280
49,5,8,160,160,1280
50,5,8,160,160,1280
51,5,8,160,160,1280
52,5,8,160,160,1280
53,5,8,160,160,1280
54,5,8,160,160,1280
55,5,8,160,160,1280
56,5,8,160,160,1280
57,5,8,160,160,1280
58,5,8,160,160,1280
59,5,8,160,160,1280
60,5,8,160,160,1280
61,5,8,160,160,1280
62,5,8,160,160,1280
63,5,8,160,160,1280
64,5,8,160,160,1280
65,5,8,160,160,1280
66,5,8,160,160,1280
67,5,8,160,160,1280
68,5,8,160,160,1280
69,5,8,160,160,1280
70,5,8,160,160,1280
71,5,8,160,160,1280
72,5,8,160,160,1280
73,5,8,160,160,1280
74,5,8,160,160,1280
75,5,8,160,160,1280
76,5,8,160,160,1280
77,5,8,160,160,1280
78,5,8,160,160,1280
79,5,8,160,160,1280
80,5,8,160,160,1280
81,5,8,160,160,1280
82,5,8,160,160,1280
83,5,8,160,160,1280
84,5,8,160,160,1280
85,5,8,160,160,1280
86,5,8,160,160,1280
87,5,8,160,160,1280
88,5,8,160,160,1280
89,5,8,160,160,1280
90,5,8,160,160,1280
91,5,8,160,160,1280
92,5,8,160,160,1280
93,5,8,160,160,1280
94,5,8,160,160,1280
95,5,8,160,160,1280
96,5,8,160,160,1280
97,5,8,160,160,1280
98,5,8,160,160,1280
99,5,8,160,160,1280
100,5,8,160,160,1280
101,5,8,160,160,1280
102,5,8,160,160,1280
103,5,8,160,160,1280
104,5,8,160,160,1280
105,5,8,160,160,1280
106,5,8,160,160,1280
107,5,8,160,160,1280
108,5,8,160,160,1280
109,5,8,160,160,1280
110,5,8,160,160,1280
111,5,8,160,160,1280
112,5,8,160,160,1280
113,5,8,160,160,1280
114,5,8,160,160,1280
115,5,8,160,160,1280
116,5,8,160,160,1280
117,5,8,160,160,1280
118,5,8,160,160,1280
119,5,8,160,160,1280
120,5,8,160,160,1280
121,5,8,160,160,1280
122,5,8,160,160,1280
123,5,8,160,160,1280
124,5,8,160,160,1280
125,5,8,160,160,1280
126,5,8,160,160,1280
127,5,8,160,160,1280
128,5,8,160,160,1280
129,5,8,160,160,1280
130,5,8,160,160,1280
131,5,8,160,160,1280
132,5,8,160,160,1280
133,5,8,160,160,1280
134,5,8,160,160,1280
135,5,8,160,160,1280
136,5,8,160,160,1280
137,5,8,160,160,1280
138,5,8,160,160,1280
139,5,8,160,160,1280
140,5,8,160,160,1280
141,5,8,160,160,1280
142,5,8,160,160,1280
143,5,8,160,160,1280
144,5,8,160,160,1280
145,5,8,160,160,1280
146,5,8,160,160,1280
147,5,8,160,160,1280
148,5,8,160,160,1280
149,5,8,160,160,1280
