r,h,k,n,infected,msgs
0,4,4,640,1,4
1,4,4,640,5,20
2,4,4,640,21,84
3,4,4,640,80,320
4,4,4,640,263,1052
5,4,4,640,627,2560
6,4,4,640,640,2612
7,4,4,640,640,2612
8,4,4,640,640,2612
9,4,4,640,640,2612
10,4,4,640,640,2612
11,4,4,640,640,2612
12,4,4,640,640,2612
13,4,4,640,640,2612
14,4,4,640,640,2612
15,4,4,640,640,2612
16,4,4,640,640,2612
17,4,4,640,640,2612
18,4,4,640,640,2612
19,4,4,640,640,2612
20,4,4,640,640,2612
21,4,4,640,640,2612
22,4,4,640,640,2612
23,4,4,640,640,2612
24,4,4,640,640,2612
25,4,4,640,640,2612
26,4,4,640,640,2612
27,4,4,640,640,2612
28,4,4,640,640,2612
29,4,4,640,640,2612
30,4,4,640,640,2612
31,4,4,640,640,2612
32,4,4,640,640,2612
33,4,4,640,640,2612
34,4,4,640,640,2612
35,4,4,640,640,2612
36,4,4,640,640,2612
37,4,4,640,640,2612
38,4,4,640,640,2612
39,4,4,640,640,2612
40,4,4,640,640,2612
41,4,4,640,640,2612
42,4,4,640,640,2612
43,4,4,640,640,2612
44,4,4,640,640,2612
45,4,4,640,640,2612
46,4,4,640,640,2612
47,4,4,640,640,2612
48,4,4,640,640,2612
49,4,4,640,640,2612
50,4,4,640,640,2612
51,4,4,640,640,2612
52,4,4,640,640,2612
53,4,4,640,640,2612
54,4,4,640,640,2612
55,4,4,640,640,2612
56,4,4,640,640,2612
57,4,4,640,640,2612
58,4,4,640,640,2612
59,4,4,640,640,2612
60,4,4,640,640,2612
61,4,4,640,640,2612
62,4,4,640,640,2612
63,4,4,640,640,2612
64,4,4,640,640,2612
65,4,4,640,640,2612
66,4,4,640,640,2612
67,4,4,640,640,2612
68,4,4,640,640,2612
69,4,4,640,640,2612
70,4,4,640,640,2612
71,4,4,640,640,2612
72,4,4,640,640,2612
73,4,4,640,640,2612
74,4,4,640,640,2612
75,4,4,640,640,2612
76,4,4,640,640,2612
77,4,4,640,640,2612
78,4,4,640,640,2612
79,4,4,640,640,2612
80,4,4,640,640,2612
81,4,4,640,640,2612
82,4,4,640,640,2612
83,4,4,640,640,2612
84,4,4,640,640,2612
85,4,4,640,640,2612
86,4,4,640,640,2612
87,4,4,640,640,2612
88,4,4,640,640,2612
89,4,4,640,640,2612
90,4,4,640,640,2612
91,4,4,640,640,2612
92,4,4,640,640,2612
93,4,4,640,640,2612
94,4,4,640,640,2612
95,4,4,640,640,2612
96,4,4,640,640,2612
97,4,4,640,640,2612
98,4,4,640,640,2612
99,4,4,640,640,2612
100,4,4,640,640,2612
101,4,4,640,640,2612
102,4,4,640,640,2612
103,4,4,640,640,2612
104,4,4,640,640,2612
105,4,4,640,640,2612
106,4,4,640,640,2612
107,4,4,640,640,2612
108,4,4,640,640,2612
109,4,4,640,640,2612
110,4,4,640,640,2612
111,4,4,640,640,2612
112,4,4,640,640,2612
113,4,4,640,640,2612
114,4,4,640,640,2612
115,4,4,640,640,2612
116,4,4,640,640,2612
117,4,4,640,640,2612
118,4,4,640,640,2612
119,4,4,640,640,2612
120,4,4,640,640,2612
121,4,4,640,640,2612
122,4,4,640,640,2612
123,4,4,640,640,2612
124,4,4,640,640,2612
125,4,4,640,640,2612
126,4,4,640,640,2612
127,4,4,640,640,2612
128,4,4,640,640,2612
129,4,4,640,640,2612
130,4,4,640,640,2612
131,4,4,640,640,2612
132,4,4,640,640,2612
133,4,4,640,640,2612
134,4,4,640,640,2612
135,4,4,640,640,2612
136,4,4,640,640,2612
137,4,4,640,640,2612
138,4,4,640,640,2612
139,4,4,640,640,2612
140,4,4,640,640,2612
141,4,4,640,640,2612
142,4,4,640,640,2612
143,4,4,640,640,2612
144,4,4,640,640,2612
145,4,4,640,640,2612
146,4,4,640,640,2612
147,4,4,640,640,2612
148,4,4,640,640,2612
149,4,4,640,640,2612
150,4,4,640,640,2612
151,4,4,640,640,2612
152,4,4,640,640,2612
153,4,4,640,640,2612
154,4,4,640,640,2612
155,4,4,640,640,2612
156,4,4,640,640,2612
157,4,4,640,640,2612
158,4,4,640,640,2612
159,4,4,640,640,2612
160,4,4,640,640,2612
