r,h,k,n,infected,msgs
0,13,16,1280,1,16
1,13,16,1280,17,272
2,13,16,1280,247,3952
3,13,16,1280,1226,19616
4,13,16,1280,1280,20480
5,13,16,1280,1280,20480
6,13,16,1280,1280,20480
7,13,16,1280,1280,20480
8,13,16,1280,1280,20480
9,13,16,1280,1280,20480
10,13,16,1280,1280,20480
11,13,16,1280,1280,20480
12,13,16,1280,1280,20480
13,13,16,1280,1280,20480
14,13,16,1280,1280,20480
15,13,16,1280,1280,20480
16,13,16,1280,1280,20480
17,13,16,1280,1280,20480
18,13,16,1280,1280,20480
19,13,16,1280,1280,20480
20,13,16,1280,1280,20480
21,13,16,1280,1280,20480
22,13,16,1280,1280,20480
23,13,16,1280,1280,20480
24,13,16,1280,1280,20480
25,13,16,1280,1280,20480
26,13,16,1280,1280,20480
27,13,16,1280,1280,20480
28,13,16,1280,1280,20480
29,13,16,1280,1280,20480
30,13,16,1280,1280,20480
31,13,16,1280,1280,20480
32,13,16,1280,1280,20480
33,13,16,1280,1280,20480
34,13,16,1280,1280,20480
35,13,16,1280,1280,20480
36,13,16,1280,1280,20480
37,13,16,1280,1280,20480
38,13,16,1280,1280,20480
39,13,16,1280,1280,20480
40,13,16,1280,1280,20480
41,13,16,1280,1280,20480
42,13,16,1280,1280,20480
43,13,16,1280,1280,20480
44,13,16,1280,1280,20480
45,13,16,1280,1280,20480
46,13,16,1280,1280,20480
47,13,16,1280,1280,20480
48,13,16,1280,1280,20480
49,13,16,1280,1280,20480
50,13,16,1280,1280,20480
51,13,16,1280,1280,20480
52,13,16,1280,1280,20480
53,13,16,1280,1280,20480
54,13,16,1280,1280,20480
55,13,16,1280,1280,20480
56,13,16,1280,1280,20480
57,13,16,1280,1280,20480
58,13,16,1280,1280,20480
59,13,16,1280,1280,20480
60,13,16,1280,1280,20480
61,13,16,1280,1280,20480
62,13,16,1280,1280,20480
63,13,16,1280,1280,20480
64,13,16,1280,1280,20480
65,13,16,1280,1280,20480
66,13,16,1280,1280,20480
67,13,16,1280,1280,20480
68,13,16,1280,1280,20480
69,13,16,1280,1280,20480
70,13,16,1280,1280,20480
71,13,16,1280,1280,20480
72,13,16,1280,1280,20480
73,13,16,1280,1280,20480
74,13,16,1280,1280,20480
75,13,16,1280,1280,20480
76,13,16,1280,1280,20480
77,13,16,1280,1280,20480
78,13,16,1280,1280,20480
79,13,16,1280,1280,20480
80,13,16,1280,1280,20480
81,13,16,1280,1280,20480
82,13,16,1280,1280,20480
83,13,16,1280,1280,20480
84,13,16,1280,1280,20480
85,13,16,1280,1280,20480
86,13,16,1280,1280,20480
87,13,16,1280,1280,20480
88,13,16,1280,1280,20480
89,13,16,1280,1280,20480
90,13,16,1280,1280,20480
91,13,16,1280,1280,20480
92,13,16,1280,1280,20480
93,13,16,1280,1280,20480
94,13,16,1280,1280,20480
95,13,16,1280,1280,20480
96,13,16,1280,1280,20480
97,13,16,1280,1280,20480
98,13,16,1280,1280,20480
99,13,16,1280,1280,20480
100,13,16,1280,1280,20480
101,13,16,1280,1280,20480
102,13,16,1280,1280,20480
103,13,16,1280,1280,20480
104,13,16,1280,1280,20480
105,13,16,1280,1280,20480
106,13,16,1280,1280,20480
107,13,16,1280,1280,20480
108,13,16,1280,1280,20480
109,13,16,1280,1280,20480
110,13,16,1280,1280,20480
111,13,16,1280,1280,20480
112,13,16,1280,1280,20480
113,13,16,1280,1280,20480
114,13,16,1280,1280,20480
115,13,16,1280,1280,20480
116,13,16,1280,1280,20480
117,13,16,1280,1280,20480
118,13,16,1280,1280,20480
119,13,16,1280,1280,20480
120,13,16,1280,1280,20480
121,13,16,1280,1280,20480
122,13,16,1280,1280,20480
123,13,16,1280,1280,20480
124,13,16,1280,1280,20480
125,13,16,1280,1280,20480
126,13,16,1280,1280,20480
127,13,16,1280,1280,20480
128,13,16,1280,1280,20480
129,13,16,1280,1280,20480
130,13,16,1280,1280,20480
131,13,16,1280,1280,20480
132,13,16,1280,1280,20480
133,13,16,1280,1280,20480
134,13,16,1280,1280,20480
135,13,16,1280,1280,20480
136,13,16,1280,1280,20480
137,13,16,1280,1280,20480
138,13,16,1280,1280,20480
139,13,16,1280,1280,20480
140,13,16,1280,1280,20480
141,13,16,1280,1280,20480
142,13,16,1280,1280,20480
143,13,16,1280,1280,20480
144,13,16,1280,1280,20480
145,13,16,1280,1280,20480
146,13,16,1280,1280,20480
147,13,16,1280,1280,20480
148,13,16,1280,1280,20480
149,13,16,1280,1280,20480
150,13,16,1280,1280,20480
151,13,16,1280,1280,20480
152,13,16,1280,1280,20480
153,13,16,1280,1280,20480
154,13,16,1280,1280,20480
155,13,16,1280,1280,20480
156,13,16,1280,1280,20480
157,13,16,1280,1280,20480
158,13,16,1280,1280,20480
159,13,16,1280,1280,20480
160,13,16,1280,1280,20480
161,13,16,1280,1280,20480
162,13,16,1280,1280,20480
163,13,16,1280,1280,20480
164,13,16,1280,1280,20480
165,13,16,1280,1280,20480
166,13,16,1280,1280,20480
167,13,16,1280,1280,20480
168,13,16,1280,1280,20480
169,13,16,1280,1280,20480
170,13,16,1280,1280,20480
171,13,16,1280,1280,20480
172,13,16,1280,1280,20480
173,13,16,1280,1280,20480
174,13,16,1280,1280,20480
175,13,16,1280,1280,20480
176,13,16,1280,1280,20480
177,13,16,1280,1280,20480
178,13,16,1280,1280,20480
179,13,16,1280,1280,20480
180,13,16,1280,1280,20480
181,13,16,1280,1280,20480
182,13,16,1280,1280,20480
183,13,16,1280,1280,20480
184,13,16,1280,1280,20480
185,13,16,1280,1280,20480
186,13,16,1280,1280,20480
187,13,16,1280,1280,20480
188,13,16,1280,1280,20480
189,13,16,1280,1280,20480
190,13,16,1280,1280,20480
191,13,16,1280,1280,20480
192,13,16,1280,1280,20480
193,13,16,1280,1280,20480
194,13,16,1280,1280,20480
195,13,16,1280,1280,20480
196,13,16,1280,1280,20480
197,13,16,1280,1280,20480
198,13,16,1280,1280,20480
199,13,16,1280,1280,20480
200,13,16,1280,1280,20480
201,13,16,1280,1280,20480
202,13,16,1280,1280,20480
203,13,16,1280,1280,20480
204,13,16,1280,1280,20480
205,13,16,1280,1280,20480
206,13,16,1280,1280,20480
207,13,16,1280,1280,20480
208,13,16,1280,1280,20480
209,13,16,1280,1280,20480
210,13,16,1280,1280,20480
211,13,16,1280,1280,20480
212,13,16,1280,1280,20480
213,13,16,1280,1280,20480
214,13,16,1280,1280,20480
215,13,16,1280,1280,20480
216,13,16,1280,1280,20480
217,13,16,1280,1280,20480
218,13,16,1280,1280,20480
219,13,16,1280,1280,20480
220,13,16,1280,1280,20480
221,13,16,1280,1280,20480
222,13,16,1280,1280,20480
223,13,16,1280,1280,20480
224,13,16,1280,1280,20480
225,13,16,1280,1280,20480
226,13,16,1280,1280,20480
227,13,16,1280,1280,20480
228,13,16,1280,1280,20480
229,13,16,1280,1280,20480
