r,h,k,n,infected,msgs
0,13,2,2560,1,2
1,13,2,2560,3,6
2,13,2,2560,7,14
3,13,2,2560,15,30
4,13,2,2560,31,62
5,13,2,2560,62,124
6,13,2,2560,123,246
7,13,2,2560,236,472
8,13,2,2560,426,852
9,13,2,2560,715,1430
10,13,2,2560,1107,2214
11,13,2,2560,1497,2994
12,13,2,2560,1792,3584
13,13,2,2560,1945,3890
14,13,2,2560,2544,5120
15,13,2,2560,2560,5152
16,13,2,2560,2560,5152
17,13,2,2560,2560,5152
18,13,2,2560,2560,5152
19,13,2,2560,2560,5152
20,13,2,2560,2560,5152
21,13,2,2560,2560,5152
22,13,2,2560,2560,5152
23,13,2,2560,2560,5152
24,13,2,2560,2560,5152
25,13,2,2560,2560,5152
26,13,2,2560,2560,5152
27,13,2,2560,2560,5152
28,13,2,2560,2560,5152
29,13,2,2560,2560,5152
30,13,2,2560,2560,5152
31,13,2,2560,2560,5152
32,13,2,2560,2560,5152
33,13,2,2560,2560,5152
34,13,2,2560,2560,5152
35,13,2,2560,2560,5152
36,13,2,2560,2560,5152
37,13,2,2560,2560,5152
38,13,2,2560,2560,5152
39,13,2,2560,2560,5152
40,13,2,2560,2560,5152
41,13,2,2560,2560,5152
42,13,2,2560,2560,5152
43,13,2,2560,2560,5152
44,13,2,2560,2560,5152
45,13,2,2560,2560,5152
46,13,2,2560,2560,5152
47,13,2,2560,2560,5152
48,13,2,2560,2560,5152
49,13,2,2560,2560,5152
50,13,2,2560,2560,5152
51,13,2,2560,2560,5152
52,13,2,2560,2560,5152
53,13,2,2560,2560,5152
54,13,2,2560,2560,5152
55,13,2,2560,2560,5152
56,13,2,2560,2560,5152
57,13,2,2560,2560,5152
58,13,2,2560,2560,5152
59,13,2,2560,2560,5152
60,13,2,2560,2560,5152
61,13,2,2560,2560,5152
62,13,2,2560,2560,5152
63,13,2,2560,2560,5152
64,13,2,2560,2560,5152
65,13,2,2560,2560,5152
66,13,2,2560,2560,5152
67,13,2,2560,2560,5152
68,13,2,2560,2560,5152
69,13,2,2560,2560,5152
70,13,2,2560,2560,5152
71,13,2,2560,2560,5152
72,13,2,2560,2560,5152
73,13,2,2560,2560,5152
74,13,2,2560,2560,5152
75,13,2,2560,2560,5152
76,13,2,2560,2560,5152
77,13,2,2560,2560,5152
78,13,2,2560,2560,5152
79,13,2,2560,2560,5152
80,13,2,2560,2560,5152
81,13,2,2560,2560,5152
82,13,2,2560,2560,5152
83,13,2,2560,2560,5152
84,13,2,2560,2560,5152
85,13,2,2560,2560,5152
86,13,2,2560,2560,5152
87,13,2,2560,2560,5152
88,13,2,2560,2560,5152
89,13,2,2560,2560,5152
90,13,2,2560,2560,5152
91,13,2,2560,2560,5152
92,13,2,2560,2560,5152
93,13,2,2560,2560,5152
