r,h,k,n,infected,msgs
0,7,1,640,1,1
1,7,1,640,2,2
2,7,1,640,3,3
3,7,1,640,4,4
4,7,1,640,5,5
5,7,1,640,6,6
6,7,1,640,7,7
7,7,1,640,8,8
8,7,1,640,22,640
9,7,1,640,59,1258
10,7,1,640,140,1839
11,7,1,640,301,2339
12,7,1,640,484,2678
13,7,1,640,619,2834
14,7,1,640,640,2855
15,7,1,640,640,2855
16,7,1,640,640,2855
17,7,1,640,640,2855
18,7,1,640,640,2855
19,7,1,640,640,2855
20,7,1,640,640,2855
21,7,1,640,640,2855
22,7,1,640,640,2855
23,7,1,640,640,2855
24,7,1,640,640,2855
25,7,1,640,640,2855
26,7,1,640,640,2855
27,7,1,640,640,2855
28,7,1,640,640,2855
29,7,1,640,640,2855
30,7,1,640,640,2855
31,7,1,640,640,2855
32,7,1,640,640,2855
33,7,1,640,640,2855
34,7,1,640,640,2855
35,7,1,640,640,2855
36,7,1,640,640,2855
37,7,1,640,640,2855
38,7,1,640,640,2855
39,7,1,640,640,2855
40,7,1,640,640,2855
41,7,1,640,640,2855
42,7,1,640,640,2855
43,7,1,640,640,2855
44,7,1,640,640,2855
45,7,1,640,640,2855
46,7,1,640,640,2855
47,7,1,640,640,2855
48,7,1,640,640,2855
49,7,1,640,640,2855
50,7,1,640,640,2855
51,7,1,640,640,2855
52,7,1,640,640,2855
53,7,1,640,640,2855
54,7,1,640,640,2855
55,7,1,640,640,2855
56,7,1,640,640,2855
57,7,1,640,640,2855
58,7,1,640,640,2855
59,7,1,640,640,2855
60,7,1,640,640,2855
61,7,1,640,640,2855
62,7,1,640,640,2855
63,7,1,640,640,2855
64,7,1,640,640,2855
65,7,1,640,640,2855
66,7,1,640,640,2855
67,7,1,640,640,2855
68,7,1,640,640,2855
69,7,1,640,640,2855
70,7,1,640,640,2855
71,7,1,640,640,2855
72,7,1,640,640,2855
73,7,1,640,640,2855
74,7,1,640,640,2855
75,7,1,640,640,2855
76,7,1,640,640,2855
77,7,1,640,640,2855
78,7,1,640,640,2855
79,7,1,640,640,2855
80,7,1,640,640,2855
81,7,1,640,640,2855
82,7,1,640,640,2855
83,7,1,640,640,2855
84,7,1,640,640,2855
85,7,1,640,640,2855
86,7,1,640,640,2855
87,7,1,640,640,2855
88,7,1,640,640,2855
89,7,1,640,640,2855
90,7,1,640,640,2855
91,7,1,640,640,2855
92,7,1,640,640,2855
93,7,1,640,640,2855
94,7,1,640,640,2855
95,7,1,640,640,2855
96,7,1,640,640,2855
97,7,1,640,640,2855
98,7,1,640,640,2855
99,7,1,640,640,2855
100,7,1,640,640,2855
101,7,1,640,640,2855
102,7,1,640,640,2855
103,7,1,640,640,2855
104,7,1,640,640,2855
105,7,1,640,640,2855
106,7,1,640,640,2855
107,7,1,640,640,2855
108,7,1,640,640,2855
109,7,1,640,640,2855
110,7,1,640,640,2855
111,7,1,640,640,2855
112,7,1,640,640,2855
113,7,1,640,640,2855
114,7,1,640,640,2855
115,7,1,640,640,2855
116,7,1,640,640,2855
117,7,1,640,640,2855
118,7,1,640,640,2855
119,7,1,640,640,2855
120,7,1,640,640,2855
121,7,1,640,640,2855
122,7,1,640,640,2855
123,7,1,640,640,2855
124,7,1,640,640,2855
125,7,1,640,640,2855
126,7,1,640,640,2855
127,7,1,640,640,2855
128,7,1,640,640,2855
129,7,1,640,640,2855
130,7,1,640,640,2855
131,7,1,640,640,2855
132,7,1,640,640,2855
133,7,1,640,640,2855
134,7,1,640,640,2855
135,7,1,640,640,2855
136,7,1,640,640,2855
137,7,1,640,640,2855
138,7,1,640,640,2855
139,7,1,640,640,2855
140,7,1,640,640,2855
141,7,1,640,640,2855
142,7,1,640,640,2855
143,7,1,640,640,2855
144,7,1,640,640,2855
145,7,1,640,640,2855
146,7,1,640,640,2855
147,7,1,640,640,2855
148,7,1,640,640,2855
149,7,1,640,640,2855
150,7,1,640,640,2855
151,7,1,640,640,2855
152,7,1,640,640,2855
153,7,1,640,640,2855
154,7,1,640,640,2855
155,7,1,640,640,2855
156,7,1,640,640,2855
157,7,1,640,640,2855
158,7,1,640,640,2855
159,7,1,640,640,2855
160,7,1,640,640,2855
161,7,1,640,640,2855
162,7,1,640,640,2855
163,7,1,640,640,2855
164,7,1,640,640,2855
165,7,1,640,640,2855
166,7,1,640,640,2855
167,7,1,640,640,2855
168,7,1,640,640,2855
169,7,1,640,640,2855
170,7,1,640,640,2855
171,7,1,640,640,2855
172,7,1,640,640,2855
173,7,1,640,640,2855
174,7,1,640,640,2855
175,7,1,640,640,2855
176,7,1,640,640,2855
177,7,1,640,640,2855
178,7,1,640,640,2855
179,7,1,640,640,2855
180,7,1,640,640,2855
181,7,1,640,640,2855
182,7,1,640,640,2855
183,7,1,640,640,2855
184,7,1,640,640,2855
185,7,1,640,640,2855
186,7,1,640,640,2855
187,7,1,640,640,2855
188,7,1,640,640,2855
189,7,1,640,640,2855
190,7,1,640,640,2855
191,7,1,640,640,2855
192,7,1,640,640,2855
193,7,1,640,640,2855
194,7,1,640,640,2855
195,7,1,640,640,2855
196,7,1,640,640,2855
197,7,1,640,640,2855
198,7,1,640,640,2855
199,7,1,640,640,2855
200,7,1,640,640,2855
201,7,1,640,640,2855
202,7,1,640,640,2855
203,7,1,640,640,2855
204,7,1,640,640,2855
205,7,1,640,640,2855
206,7,1,640,640,2855
207,7,1,640,640,2855
208,7,1,640,640,2855
209,7,1,640,640,2855
