r,h,k,n,infected,msgs
0,5,4,320,1,4
1,5,4,320,5,20
2,5,4,320,21,84
3,5,4,320,76,304
4,5,4,320,199,796
5,5,4,320,298,1192
6,5,4,320,320,1280
7,5,4,320,320,1280
8,5,4,320,320,1280
9,5,4,320,320,1280
10,5,4,320,320,1280
11,5,4,320,320,1280
12,5,4,320,320,1280
13,5,4,320,320,1280
14,5,4,320,320,1280
15,5,4,320,320,1280
16,5,4,320,320,1280
17,5,4,320,320,1280
18,5,4,320,320,1280
19,5,4,320,320,1280
20,5,4,320,320,1280
21,5,4,320,320,1280
22,5,4,320,320,1280
23,5,4,320,320,1280
24,5,4,320,320,1280
25,5,4,320,320,1280
26,5,4,320,320,1280
27,5,4,320,320,1280
28,5,4,320,320,1280
29,5,4,320,320,1280
30,5,4,320,320,1280
31,5,4,320,320,1280
32,5,4,320,320,1280
33,5,4,320,320,1280
34,5,4,320,320,1280
35,5,4,320,320,1280
36,5,4,320,320,1280
37,5,4,320,320,1280
38,5,4,320,320,1280
39,5,4,320,320,1280
40,5,4,320,320,1280
41,5,4,320,320,1280
42,5,4,320,320,1280
43,5,4,320,320,1280
44,5,4,320,320,1280
45,5,4,320,320,1280
46,5,4,320,320,1280
47,5,4,320,320,1280
48,5,4,320,320,1280
49,5,4,320,320,1280
50,5,4,320,320,1280
51,5,4,320,320,1280
52,5,4,320,320,1280
53,5,4,320,320,1280
54,5,4,320,320,1280
55,5,4,320,320,1280
56,5,4,320,320,1280
57,5,4,320,320,1280
58,5,4,320,320,1280
59,5,4,320,320,1280
60,5,4,320,320,1280
61,5,4,320,320,1280
62,5,4,320,320,1280
63,5,4,320,320,1280
64,5,4,320,320,1280
65,5,4,320,320,1280
66,5,4,320,320,1280
67,5,4,320,320,1280
68,5,4,320,320,1280
69,5,4,320,320,1280
70,5,4,320,320,1280
71,5,4,320,320,1280
72,5,4,320,320,1280
73,5,4,320,320,1280
74,5,4,320,320,1280
75,5,4,320,320,1280
76,5,4,320,320,1280
77,5,4,320,320,1280
78,5,4,320,320,1280
79,5,4,320,320,1280
80,5,4,320,320,1280
81,5,4,320,320,1280
82,5,4,320,320,1280
83,5,4,320,320,1280
84,5,4,320,320,1280
85,5,4,320,320,1280
86,5,4,320,320,1280
87,5,4,320,320,1280
88,5,4,320,320,1280
89,5,4,320,320,1280
90,5,4,320,320,1280
91,5,4,320,320,1280
92,5,4,320,320,1280
93,5,4,320,320,1280
94,5,4,320,320,1280
95,5,4,320,320,1280
96,5,4,320,320,1280
97,5,4,320,320,1280
98,5,4,320,320,1280
99,5,4,320,320,1280
100,5,4,320,320,1280
101,5,4,320,320,1280
102,5,4,320,320,1280
103,5,4,320,320,1280
104,5,4,320,320,1280
105,5,4,320,320,1280
