r,h,k,n,infected,msgs
0,3,4,160,1,4
1,3,4,160,5,20
2,3,4,160,19,76
3,3,4,160,57,228
4,3,4,160,151,640
5,3,4,160,160,676
6,3,4,160,160,676
7,3,4,160,160,676
8,3,4,160,160,676
9,3,4,160,160,676
10,3,4,160,160,676
11,3,4,160,160,676
12,3,4,160,160,676
13,3,4,160,160,676
14,3,4,160,160,676
15,3,4,160,160,676
16,3,4,160,160,676
17,3,4,160,160,676
18,3,4,160,160,676
19,3,4,160,160,676
20,3,4,160,160,676
21,3,4,160,160,676
22,3,4,160,160,676
23,3,4,160,160,676
24,3,4,160,160,676
25,3,4,160,160,676
26,3,4,160,160,676
27,3,4,160,160,676
28,3,4,160,160,676
29,3,4,160,160,676
30,3,4,160,160,676
31,3,4,160,160,676
32,3,4,160,160,676
33,3,4,160,160,676
34,3,4,160,160,676
35,3,4,160,160,676
36,3,4,160,160,676
37,3,4,160,160,676
38,3,4,160,160,676
39,3,4,160,160,676
40,3,4,160,160,676
41,3,4,160,160,676
42,3,4,160,160,676
43,3,4,160,160,676
44,3,4,160,160,676
45,3,4,160,160,676
46,3,4,160,160,676
47,3,4,160,160,676
48,3,4,160,160,676
49,3,4,160,160,676
50,3,4,160,160,676
51,3,4,160,160,676
52,3,4,160,160,676
53,3,4,160,160,676
54,3,4,160,160,676
55,3,4,160,160,676
56,3,4,160,160,676
57,3,4,160,160,676
58,3,4,160,160,676
59,3,4,160,160,676
60,3,4,160,160,676
61,3,4,160,160,676
62,3,4,160,160,676
63,3,4,160,160,676
64,3,4,160,160,676
65,3,4,160,160,676
66,3,4,160,160,676
67,3,4,160,160,676
68,3,4,160,160,676
69,3,4,160,160,676
70,3,4,160,160,676
71,3,4,160,160,676
72,3,4,160,160,676
73,3,4,160,160,676
74,3,4,160,160,676
75,3,4,160,160,676
76,3,4,160,160,676
77,3,4,160,160,676
78,3,4,160,160,676
79,3,4,160,160,676
80,3,4,160,160,676
81,3,4,160,160,676
82,3,4,160,160,676
83,3,4,160,160,676
84,3,4,160,160,676
85,3,4,160,160,676
86,3,4,160,160,676
87,3,4,160,160,676
88,3,4,160,160,676
89,3,4,160,160,676
90,3,4,160,160,676
91,3,4,160,160,676
92,3,4,160,160,676
93,3,4,160,160,676
94,3,4,160,160,676
95,3,4,160,160,676
96,3,4,160,160,676
97,3,4,160,160,676
98,3,4,160,160,676
99,3,4,160,160,676
100,3,4,160,160,676
101,3,4,160,160,676
102,3,4,160,160,676
103,3,4,160,160,676
104,3,4,160,160,676
105,3,4,160,160,676
106,3,4,160,160,676
107,3,4,160,160,676
108,3,4,160,160,676
109,3,4,160,160,676
110,3,4,160,160,676
111,3,4,160,160,676
112,3,4,160,160,676
113,3,4,160,160,676
114,3,4,160,160,676
115,3,4,160,160,676
116,3,4,160,160,676
117,3,4,160,160,676
118,3,4,160,160,676
119,3,4,160,160,676
120,3,4,160,160,676
121,3,4,160,160,676
122,3,4,160,160,676
123,3,4,160,160,676
124,3,4,160,160,676
125,3,4,160,160,676
126,3,4,160,160,676
127,3,4,160,160,676
128,3,4,160,160,676
129,3,4,160,160,676
130,3,4,160,160,676
131,3,4,160,160,676
132,3,4,160,160,676
133,3,4,160,160,676
134,3,4,160,160,676
135,3,4,160,160,676
136,3,4,160,160,676
137,3,4,160,160,676
138,3,4,160,160,676
139,3,4,160,160,676
140,3,4,160,160,676
141,3,4,160,160,676
142,3,4,160,160,676
143,3,4,160,160,676
144,3,4,160,160,676
145,3,4,160,160,676
146,3,4,160,160,676
147,3,4,160,160,676
148,3,4,160,160,676
149,3,4,160,160,676
150,3,4,160,160,676
151,3,4,160,160,676
152,3,4,160,160,676
153,3,4,160,160,676
154,3,4,160,160,676
155,3,4,160,160,676
156,3,4,160,160,676
157,3,4,160,160,676
158,3,4,160,160,676
159,3,4,160,160,676
160,3,4,160,160,676
