r,h,k,n,infected,msgs
0,1,4,80,1,4
1,1,4,80,5,20
2,1,4,80,45,320
3,1,4,80,80,460
4,1,4,80,80,460
5,1,4,80,80,460
6,1,4,80,80,460
7,1,4,80,80,460
8,1,4,80,80,460
9,1,4,80,80,460
10,1,4,80,80,460
11,1,4,80,80,460
12,1,4,80,80,460
13,1,4,80,80,460
14,1,4,80,80,460
15,1,4,80,80,460
16,1,4,80,80,460
17,1,4,80,80,460
18,1,4,80,80,460
19,1,4,80,80,460
20,1,4,80,80,460
21,1,4,80,80,460
22,1,4,80,80,460
23,1,4,80,80,460
24,1,4,80,80,460
25,1,4,80,80,460
26,1,4,80,80,460
27,1,4,80,80,460
28,1,4,80,80,460
29,1,4,80,80,460
30,1,4,80,80,460
31,1,4,80,80,460
32,1,4,80,80,460
33,1,4,80,80,460
34,1,4,80,80,460
35,1,4,80,80,460
36,1,4,80,80,460
37,1,4,80,80,460
38,1,4,80,80,460
39,1,4,80,80,460
40,1,4,80,80,460
41,1,4,80,80,460
42,1,4,80,80,460
43,1,4,80,80,460
44,1,4,80,80,460
45,1,4,80,80,460
46,1,4,80,80,460
47,1,4,80,80,460
48,1,4,80,80,460
49,1,4,80,80,460
50,1,4,80,80,460
51,1,4,80,80,460
52,1,4,80,80,460
53,1,4,80,80,460
54,1,4,80,80,460
55,1,4,80,80,460
56,1,4,80,80,460
57,1,4,80,80,460
58,1,4,80,80,460
59,1,4,80,80,460
60,1,4,80,80,460
61,1,4,80,80,460
62,1,4,80,80,460
63,1,4,80,80,460
64,1,4,80,80,460
65,1,4,80,80,460
66,1,4,80,80,460
67,1,4,80,80,460
68,1,4,80,80,460
69,1,4,80,80,460
70,1,4,80,80,460
71,1,4,80,80,460
72,1,4,80,80,460
73,1,4,80,80,460
74,1,4,80,80,460
75,1,4,80,80,460
76,1,4,80,80,460
77,1,4,80,80,460
78,1,4,80,80,460
79,1,4,80,80,460
80,1,4,80,80,460
81,1,4,80,80,460
82,1,4,80,80,460
83,1,4,80,80,460
84,1,4,80,80,460
85,1,4,80,80,460
86,1,4,80,80,460
87,1,4,80,80,460
88,1,4,80,80,460
89,1,4,80,80,460
90,1,4,80,80,460
91,1,4,80,80,460
92,1,4,80,80,460
93,1,4,80,80,460
94,1,4,80,80,460
95,1,4,80,80,460
96,1,4,80,80,460
97,1,4,80,80,460
98,1,4,80,80,460
99,1,4,80,80,460
100,1,4,80,80,460
101,1,4,80,80,460
102,1,4,80,80,460
103,1,4,80,80,460
104,1,4,80,80,460
105,1,4,80,80,460
106,1,4,80,80,460
107,1,4,80,80,460
108,1,4,80,80,460
109,1,4,80,80,460
110,1,4,80,80,460
111,1,4,80,80,460
112,1,4,80,80,460
113,1,4,80,80,460
114,1,4,80,80,460
115,1,4,80,80,460
116,1,4,80,80,460
117,1,4,80,80,460
118,1,4,80,80,460
119,1,4,80,80,460
120,1,4,80,80,460
121,1,4,80,80,460
122,1,4,80,80,460
123,1,4,80,80,460
124,1,4,80,80,460
125,1,4,80,80,460
126,1,4,80,80,460
127,1,4,80,80,460
128,1,4,80,80,460
129,1,4,80,80,460
130,1,4,80,80,460
131,1,4,80,80,460
132,1,4,80,80,460
133,1,4,80,80,460
134,1,4,80,80,460
135,1,4,80,80,460
136,1,4,80,80,460
137,1,4,80,80,460
138,1,4,80,80,460
139,1,4,80,80,460
140,1,4,80,80,460
141,1,4,80,80,460
142,1,4,80,80,460
143,1,4,80,80,460
144,1,4,80,80,460
145,1,4,80,80,460
146,1,4,80,80,460
147,1,4,80,80,460
148,1,4,80,80,460
149,1,4,80,80,460
150,1,4,80,80,460
151,1,4,80,80,460
152,1,4,80,80,460
153,1,4,80,80,460
154,1,4,80,80,460
155,1,4,80,80,460
156,1,4,80,80,460
157,1,4,80,80,460
158,1,4,80,80,460
159,1,4,80,80,460
160,1,4,80,80,460
161,1,4,80,80,460
162,1,4,80,80,460
163,1,4,80,80,460
164,1,4,80,80,460
165,1,4,80,80,460
166,1,4,80,80,460
167,1,4,80,80,460
168,1,4,80,80,460
169,1,4,80,80,460
170,1,4,80,80,460
171,1,4,80,80,460
172,1,4,80,80,460
173,1,4,80,80,460
174,1,4,80,80,460
175,1,4,80,80,460
176,1,4,80,80,460
177,1,4,80,80,460
178,1,4,80,80,460
179,1,4,80,80,460
180,1,4,80,80,460
181,1,4,80,80,460
182,1,4,80,80,460
183,1,4,80,80,460
184,1,4,80,80,460
185,1,4,80,80,460
186,1,4,80,80,460
187,1,4,80,80,460
188,1,4,80,80,460
189,1,4,80,80,460
190,1,4,80,80,460
191,1,4,80,80,460
192,1,4,80,80,460
193,1,4,80,80,460
194,1,4,80,80,460
195,1,4,80,80,460
196,1,4,80,80,460
197,1,4,80,80,460
198,1,4,80,80,460
199,1,4,80,80,460
200,1,4,80,80,460
201,1,4,80,80,460
202,1,4,80,80,460
203,1,4,80,80,460
204,1,4,80,80,460
205,1,4,80,80,460
206,1,4,80,80,460
207,1,4,80,80,460
208,1,4,80,80,460
209,1,4,80,80,460
210,1,4,80,80,460
211,1,4,80,80,460
212,1,4,80,80,460
213,1,4,80,80,460
214,1,4,80,80,460
215,1,4,80,80,460
216,1,4,80,80,460
217,1,4,80,80,460
218,1,4,80,80,460
219,1,4,80,80,460
220,1,4,80,80,460
221,1,4,80,80,460
222,1,4,80,80,460
223,1,4,80,80,460
224,1,4,80,80,460
225,1,4,80,80,460
226,1,4,80,80,460
227,1,4,80,80,460
228,1,4,80,80,460
229,1,4,80,80,460
230,1,4,80,80,460
231,1,4,80,80,460
232,1,4,80,80,460
233,1,4,80,80,460
234,1,4,80,80,460
235,1,4,80,80,460
236,1,4,80,80,460
237,1,4,80,80,460
238,1,4,80,80,460
239,1,4,80,80,460
240,1,4,80,80,460
241,1,4,80,80,460
242,1,4,80,80,460
243,1,4,80,80,460
244,1,4,80,80,460
245,1,4,80,80,460
246,1,4,80,80,460
247,1,4,80,80,460
248,1,4,80,80,460
249,1,4,80,80,460
250,1,4,80,80,460
251,1,4,80,80,460
252,1,4,80,80,460
253,1,4,80,80,460
254,1,4,80,80,460
255,1,4,80,80,460
256,1,4,80,80,460
257,1,4,80,80,460
258,1,4,80,80,460
259,1,4,80,80,460
260,1,4,80,80,460
261,1,4,80,80,460
262,1,4,80,80,460
263,1,4,80,80,460
264,1,4,80,80,460
265,1,4,80,80,460
266,1,4,80,80,460
267,1,4,80,80,460
268,1,4,80,80,460
269,1,4,80,80,460
270,1,4,80,80,460
271,1,4,80,80,460
272,1,4,80,80,460
273,1,4,80,80,460
274,1,4,80,80,460
275,1,4,80,80,460
276,1,4,80,80,460
277,1,4,80,80,460
278,1,4,80,80,460
279,1,4,80,80,460
280,1,4,80,80,460
281,1,4,80,80,460
282,1,4,80,80,460
283,1,4,80,80,460
284,1,4,80,80,460
285,1,4,80,80,460
286,1,4,80,80,460
287,1,4,80,80,460
288,1,4,80,80,460
289,1,4,80,80,460
290,1,4,80,80,460
291,1,4,80,80,460
292,1,4,80,80,460
293,1,4,80,80,460
294,1,4,80,80,460
295,1,4,80,80,460
296,1,4,80,80,460
297,1,4,80,80,460
298,1,4,80,80,460
299,1,4,80,80,460
300,1,4,80,80,460
301,1,4,80,80,460
302,1,4,80,80,460
303,1,4,80,80,460
304,1,4,80,80,460
305,1,4,80,80,460
306,1,4,80,80,460
307,1,4,80,80,460
308,1,4,80,80,460
309,1,4,80,80,460
310,1,4,80,80,460
311,1,4,80,80,460
312,1,4,80,80,460
313,1,4,80,80,460
314,1,4,80,80,460
315,1,4,80,80,460
316,1,4,80,80,460
317,1,4,80,80,460
318,1,4,80,80,460
319,1,4,80,80,460
320,1,4,80,80,460
321,1,4,80,80,460
322,1,4,80,80,460
323,1,4,80,80,460
324,1,4,80,80,460
325,1,4,80,80,460
326,1,4,80,80,460
327,1,4,80,80,460
328,1,4,80,80,460
329,1,4,80,80,460
330,1,4,80,80,460
331,1,4,80,80,460
332,1,4,80,80,460
333,1,4,80,80,460
334,1,4,80,80,460
335,1,4,80,80,460
336,1,4,80,80,460
337,1,4,80,80,460
338,1,4,80,80,460
339,1,4,80,80,460
340,1,4,80,80,460
341,1,4,80,80,460
342,1,4,80,80,460
343,1,4,80,80,460
344,1,4,80,80,460
345,1,4,80,80,460
346,1,4,80,80,460
347,1,4,80,80,460
348,1,4,80,80,460
349,1,4,80,80,460
