r,h,k,n,infected,msgs
0,6,16,2560,1,16
1,6,16,2560,17,272
2,6,16,2560,258,4128
3,6,16,2560,2094,33504
4,6,16,2560,2560,40960
5,6,16,2560,2560,40960
6,6,16,2560,2560,40960
7,6,16,2560,2560,40960
8,6,16,2560,2560,40960
9,6,16,2560,2560,40960
10,6,16,2560,2560,40960
11,6,16,2560,2560,40960
12,6,16,2560,2560,40960
13,6,16,2560,2560,40960
14,6,16,2560,2560,40960
15,6,16,2560,2560,40960
16,6,16,2560,2560,40960
17,6,16,2560,2560,40960
18,6,16,2560,2560,40960
19,6,16,2560,2560,40960
20,6,16,2560,2560,40960
21,6,16,2560,2560,40960
22,6,16,2560,2560,40960
23,6,16,2560,2560,40960
24,6,16,2560,2560,40960
25,6,16,2560,2560,40960
26,6,16,2560,2560,40960
27,6,16,2560,2560,40960
28,6,16,2560,2560,40960
29,6,16,2560,2560,40960
30,6,16,2560,2560,40960
31,6,16,2560,2560,40960
32,6,16,2560,2560,40960
33,6,16,2560,2560,40960
34,6,16,2560,2560,40960
35,6,16,2560,2560,40960
36,6,16,2560,2560,40960
37,6,16,2560,2560,40960
38,6,16,2560,2560,40960
39,6,16,2560,2560,40960
40,6,16,2560,2560,40960
41,6,16,2560,2560,40960
42,6,16,2560,2560,40960
43,6,16,2560,2560,40960
44,6,16,2560,2560,40960
45,6,16,2560,2560,40960
46,6,16,2560,2560,40960
47,6,16,2560,2560,40960
48,6,16,2560,2560,40960
49,6,16,2560,2560,40960
50,6,16,2560,2560,40960
51,6,16,2560,2560,40960
52,6,16,2560,2560,40960
53,6,16,2560,2560,40960
54,6,16,2560,2560,40960
55,6,16,2560,2560,40960
56,6,16,2560,2560,40960
57,6,16,2560,2560,40960
58,6,16,2560,2560,40960
59,6,16,2560,2560,40960
60,6,16,2560,2560,40960
61,6,16,2560,2560,40960
62,6,16,2560,2560,40960
63,6,16,2560,2560,40960
64,6,16,2560,2560,40960
65,6,16,2560,2560,40960
66,6,16,2560,2560,40960
67,6,16,2560,2560,40960
68,6,16,2560,2560,40960
69,6,16,2560,2560,40960
70,6,16,2560,2560,40960
71,6,16,2560,2560,40960
72,6,16,2560,2560,40960
73,6,16,2560,2560,40960
74,6,16,2560,2560,40960
75,6,16,2560,2560,40960
76,6,16,2560,2560,40960
77,6,16,2560,2560,40960
78,6,16,2560,2560,40960
79,6,16,2560,2560,40960
80,6,16,2560,2560,40960
81,6,16,2560,2560,40960
82,6,16,2560,2560,40960
83,6,16,2560,2560,40960
84,6,16,2560,2560,40960
85,6,16,2560,2560,40960
86,6,16,2560,2560,40960
87,6,16,2560,2560,40960
88,6,16,2560,2560,40960
89,6,16,2560,2560,40960
90,6,16,2560,2560,40960
91,6,16,2560,2560,40960
92,6,16,2560,2560,40960
93,6,16,2560,2560,40960
94,6,16,2560,2560,40960
95,6,16,2560,2560,40960
96,6,16,2560,2560,40960
97,6,16,2560,2560,40960
98,6,16,2560,2560,40960
99,6,16,2560,2560,40960
100,6,16,2560,2560,40960
101,6,16,2560,2560,40960
102,6,16,2560,2560,40960
103,6,16,2560,2560,40960
104,6,16,2560,2560,40960
105,6,16,2560,2560,40960
106,6,16,2560,2560,40960
107,6,16,2560,2560,40960
