r,h,k,n,infected,msgs
0,7,4,160,1,4
1,7,4,160,5,20
2,7,4,160,20,80
3,7,4,160,65,260
4,7,4,160,125,500
5,7,4,160,148,592
6,7,4,160,154,616
7,7,4,160,155,620
8,7,4,160,160,640
9,7,4,160,160,640
10,7,4,160,160,640
11,7,4,160,160,640
12,7,4,160,160,640
13,7,4,160,160,640
14,7,4,160,160,640
15,7,4,160,160,640
16,7,4,160,160,640
17,7,4,160,160,640
18,7,4,160,160,640
19,7,4,160,160,640
20,7,4,160,160,640
21,7,4,160,160,640
22,7,4,160,160,640
23,7,4,160,160,640
24,7,4,160,160,640
25,7,4,160,160,640
26,7,4,160,160,640
27,7,4,160,160,640
28,7,4,160,160,640
29,7,4,160,160,640
30,7,4,160,160,640
31,7,4,160,160,640
32,7,4,160,160,640
33,7,4,160,160,640
34,7,4,160,160,640
35,7,4,160,160,640
36,7,4,160,160,640
37,7,4,160,160,640
38,7,4,160,160,640
39,7,4,160,160,640
40,7,4,160,160,640
41,7,4,160,160,640
42,7,4,160,160,640
43,7,4,160,160,640
44,7,4,160,160,640
45,7,4,160,160,640
46,7,4,160,160,640
47,7,4,160,160,640
48,7,4,160,160,640
49,7,4,160,160,640
50,7,4,160,160,640
51,7,4,160,160,640
52,7,4,160,160,640
53,7,4,160,160,640
54,7,4,160,160,640
55,7,4,160,160,640
56,7,4,160,160,640
57,7,4,160,160,640
58,7,4,160,160,640
59,7,4,160,160,640
60,7,4,160,160,640
61,7,4,160,160,640
62,7,4,160,160,640
63,7,4,160,160,640
64,7,4,160,160,640
65,7,4,160,160,640
66,7,4,160,160,640
67,7,4,160,160,640
68,7,4,160,160,640
69,7,4,160,160,640
70,7,4,160,160,640
71,7,4,160,160,640
72,7,4,160,160,640
73,7,4,160,160,640
74,7,4,160,160,640
75,7,4,160,160,640
76,7,4,160,160,640
77,7,4,160,160,640
78,7,4,160,160,640
79,7,4,160,160,640
80,7,4,160,160,640
81,7,4,160,160,640
82,7,4,160,160,640
83,7,4,160,160,640
84,7,4,160,160,640
85,7,4,160,160,640
86,7,4,160,160,640
87,7,4,160,160,640
88,7,4,160,160,640
89,7,4,160,160,640
90,7,4,160,160,640
91,7,4,160,160,640
92,7,4,160,160,640
93,7,4,160,160,640
94,7,4,160,160,640
95,7,4,160,160,640
96,7,4,160,160,640
97,7,4,160,160,640
98,7,4,160,160,640
99,7,4,160,160,640
100,7,4,160,160,640
101,7,4,160,160,640
102,7,4,160,160,640
103,7,4,160,160,640
104,7,4,160,160,640
105,7,4,160,160,640
106,7,4,160,160,640
107,7,4,160,160,640
108,7,4,160,160,640
109,7,4,160,160,640
110,7,4,160,160,640
111,7,4,160,160,640
112,7,4,160,160,640
113,7,4,160,160,640
114,7,4,160,160,640
115,7,4,160,160,640
116,7,4,160,160,640
117,7,4,160,160,640
118,7,4,160,160,640
119,7,4,160,160,640
120,7,4,160,160,640
121,7,4,160,160,640
122,7,4,160,160,640
123,7,4,160,160,640
124,7,4,160,160,640
125,7,4,160,160,640
126,7,4,160,160,640
127,7,4,160,160,640
128,7,4,160,160,640
129,7,4,160,160,640
130,7,4,160,160,640
131,7,4,160,160,640
132,7,4,160,160,640
133,7,4,160,160,640
134,7,4,160,160,640
135,7,4,160,160,640
136,7,4,160,160,640
137,7,4,160,160,640
138,7,4,160,160,640
139,7,4,160,160,640
140,7,4,160,160,640
141,7,4,160,160,640
142,7,4,160,160,640
143,7,4,160,160,640
144,7,4,160,160,640
145,7,4,160,160,640
146,7,4,160,160,640
147,7,4,160,160,640
148,7,4,160,160,640
149,7,4,160,160,640
150,7,4,160,160,640
151,7,4,160,160,640
152,7,4,160,160,640
153,7,4,160,160,640
154,7,4,160,160,640
155,7,4,160,160,640
156,7,4,160,160,640
157,7,4,160,160,640
158,7,4,160,160,640
159,7,4,160,160,640
160,7,4,160,160,640
161,7,4,160,160,640
162,7,4,160,160,640
163,7,4,160,160,640
