r,h,k,n,infected,msgs
0,13,2,1280,1,2
1,13,2,1280,3,6
2,13,2,1280,7,14
3,13,2,1280,15,30
4,13,2,1280,31,62
5,13,2,1280,61,122
6,13,2,1280,116,232
7,13,2,1280,210,420
8,13,2,1280,352,704
9,13,2,1280,544,1088
10,13,2,1280,720,1440
11,13,2,1280,851,1702
12,13,2,1280,942,1884
13,13,2,1280,979,1958
14,13,2,1280,1267,2560
15,13,2,1280,1280,2586
16,13,2,1280,1280,2586
17,13,2,1280,1280,2586
18,13,2,1280,1280,2586
19,13,2,1280,1280,2586
20,13,2,1280,1280,2586
21,13,2,1280,1280,2586
22,13,2,1280,1280,2586
23,13,2,1280,1280,2586
24,13,2,1280,1280,2586
25,13,2,1280,1280,2586
26,13,2,1280,1280,2586
27,13,2,1280,1280,2586
28,13,2,1280,1280,2586
29,13,2,1280,1280,2586
30,13,2,1280,1280,2586
31,13,2,1280,1280,2586
32,13,2,1280,1280,2586
33,13,2,1280,1280,2586
34,13,2,1280,1280,2586
35,13,2,1280,1280,2586
36,13,2,1280,1280,2586
37,13,2,1280,1280,2586
38,13,2,1280,1280,2586
39,13,2,1280,1280,2586
40,13,2,1280,1280,2586
41,13,2,1280,1280,2586
42,13,2,1280,1280,2586
43,13,2,1280,1280,2586
44,13,2,1280,1280,2586
45,13,2,1280,1280,2586
46,13,2,1280,1280,2586
47,13,2,1280,1280,2586
48,13,2,1280,1280,2586
49,13,2,1280,1280,2586
50,13,2,1280,1280,2586
51,13,2,1280,1280,2586
52,13,2,1280,1280,2586
53,13,2,1280,1280,2586
54,13,2,1280,1280,2586
55,13,2,1280,1280,2586
56,13,2,1280,1280,2586
57,13,2,1280,1280,2586
58,13,2,1280,1280,2586
59,13,2,1280,1280,2586
60,13,2,1280,1280,2586
61,13,2,1280,1280,2586
62,13,2,1280,1280,2586
63,13,2,1280,1280,2586
64,13,2,1280,1280,2586
65,13,2,1280,1280,2586
66,13,2,1280,1280,2586
67,13,2,1280,1280,2586
68,13,2,1280,1280,2586
69,13,2,1280,1280,2586
70,13,2,1280,1280,2586
71,13,2,1280,1280,2586
72,13,2,1280,1280,2586
73,13,2,1280,1280,2586
74,13,2,1280,1280,2586
75,13,2,1280,1280,2586
76,13,2,1280,1280,2586
77,13,2,1280,1280,2586
78,13,2,1280,1280,2586
79,13,2,1280,1280,2586
80,13,2,1280,1280,2586
81,13,2,1280,1280,2586
82,13,2,1280,1280,2586
83,13,2,1280,1280,2586
84,13,2,1280,1280,2586
85,13,2,1280,1280,2586
86,13,2,1280,1280,2586
87,13,2,1280,1280,2586
88,13,2,1280,1280,2586
89,13,2,1280,1280,2586
90,13,2,1280,1280,2586
91,13,2,1280,1280,2586
92,13,2,1280,1280,2586
93,13,2,1280,1280,2586
94,13,2,1280,1280,2586
95,13,2,1280,1280,2586
96,13,2,1280,1280,2586
97,13,2,1280,1280,2586
98,13,2,1280,1280,2586
99,13,2,1280,1280,2586
100,13,2,1280,1280,2586
101,13,2,1280,1280,2586
102,13,2,1280,1280,2586
103,13,2,1280,1280,2586
104,13,2,1280,1280,2586
105,13,2,1280,1280,2586
106,13,2,1280,1280,2586
107,13,2,1280,1280,2586
108,13,2,1280,1280,2586
109,13,2,1280,1280,2586
110,13,2,1280,1280,2586
111,13,2,1280,1280,2586
112,13,2,1280,1280,2586
113,13,2,1280,1280,2586
114,13,2,1280,1280,2586
115,13,2,1280,1280,2586
116,13,2,1280,1280,2586
117,13,2,1280,1280,2586
118,13,2,1280,1280,2586
119,13,2,1280,1280,2586
120,13,2,1280,1280,2586
121,13,2,1280,1280,2586
122,13,2,1280,1280,2586
123,13,2,1280,1280,2586
124,13,2,1280,1280,2586
125,13,2,1280,1280,2586
126,13,2,1280,1280,2586
127,13,2,1280,1280,2586
128,13,2,1280,1280,2586
129,13,2,1280,1280,2586
130,13,2,1280,1280,2586
131,13,2,1280,1280,2586
132,13,2,1280,1280,2586
133,13,2,1280,1280,2586
134,13,2,1280,1280,2586
135,13,2,1280,1280,2586
136,13,2,1280,1280,2586
137,13,2,1280,1280,2586
138,13,2,1280,1280,2586
139,13,2,1280,1280,2586
140,13,2,1280,1280,2586
141,13,2,1280,1280,2586
142,13,2,1280,1280,2586
143,13,2,1280,1280,2586
144,13,2,1280,1280,2586
145,13,2,1280,1280,2586
146,13,2,1280,1280,2586
147,13,2,1280,1280,2586
148,13,2,1280,1280,2586
149,13,2,1280,1280,2586
150,13,2,1280,1280,2586
151,13,2,1280,1280,2586
152,13,2,1280,1280,2586
153,13,2,1280,1280,2586
154,13,2,1280,1280,2586
155,13,2,1280,1280,2586
156,13,2,1280,1280,2586
157,13,2,1280,1280,2586
158,13,2,1280,1280,2586
159,13,2,1280,1280,2586
160,13,2,1280,1280,2586
161,13,2,1280,1280,2586
162,13,2,1280,1280,2586
163,13,2,1280,1280,2586
164,13,2,1280,1280,2586
165,13,2,1280,1280,2586
166,13,2,1280,1280,2586
167,13,2,1280,1280,2586
168,13,2,1280,1280,2586
169,13,2,1280,1280,2586
170,13,2,1280,1280,2586
171,13,2,1280,1280,2586
172,13,2,1280,1280,2586
173,13,2,1280,1280,2586
174,13,2,1280,1280,2586
175,13,2,1280,1280,2586
176,13,2,1280,1280,2586
177,13,2,1280,1280,2586
178,13,2,1280,1280,2586
179,13,2,1280,1280,2586
180,13,2,1280,1280,2586
181,13,2,1280,1280,2586
182,13,2,1280,1280,2586
183,13,2,1280,1280,2586
184,13,2,1280,1280,2586
185,13,2,1280,1280,2586
186,13,2,1280,1280,2586
187,13,2,1280,1280,2586
188,13,2,1280,1280,2586
189,13,2,1280,1280,2586
190,13,2,1280,1280,2586
191,13,2,1280,1280,2586
192,13,2,1280,1280,2586
193,13,2,1280,1280,2586
194,13,2,1280,1280,2586
195,13,2,1280,1280,2586
196,13,2,1280,1280,2586
197,13,2,1280,1280,2586
198,13,2,1280,1280,2586
199,13,2,1280,1280,2586
200,13,2,1280,1280,2586
201,13,2,1280,1280,2586
202,13,2,1280,1280,2586
203,13,2,1280,1280,2586
204,13,2,1280,1280,2586
205,13,2,1280,1280,2586
206,13,2,1280,1280,2586
207,13,2,1280,1280,2586
208,13,2,1280,1280,2586
209,13,2,1280,1280,2586
210,13,2,1280,1280,2586
211,13,2,1280,1280,2586
212,13,2,1280,1280,2586
213,13,2,1280,1280,2586
214,13,2,1280,1280,2586
215,13,2,1280,1280,2586
216,13,2,1280,1280,2586
217,13,2,1280,1280,2586
218,13,2,1280,1280,2586
219,13,2,1280,1280,2586
220,13,2,1280,1280,2586
221,13,2,1280,1280,2586
222,13,2,1280,1280,2586
223,13,2,1280,1280,2586
224,13,2,1280,1280,2586
225,13,2,1280,1280,2586
226,13,2,1280,1280,2586
227,13,2,1280,1280,2586
228,13,2,1280,1280,2586
229,13,2,1280,1280,2586
230,13,2,1280,1280,2586
231,13,2,1280,1280,2586
232,13,2,1280,1280,2586
233,13,2,1280,1280,2586
234,13,2,1280,1280,2586
235,13,2,1280,1280,2586
236,13,2,1280,1280,2586
237,13,2,1280,1280,2586
238,13,2,1280,1280,2586
239,13,2,1280,1280,2586
240,13,2,1280,1280,2586
241,13,2,1280,1280,2586
242,13,2,1280,1280,2586
243,13,2,1280,1280,2586
244,13,2,1280,1280,2586
245,13,2,1280,1280,2586
246,13,2,1280,1280,2586
247,13,2,1280,1280,2586
248,13,2,1280,1280,2586
249,13,2,1280,1280,2586
250,13,2,1280,1280,2586
251,13,2,1280,1280,2586
252,13,2,1280,1280,2586
253,13,2,1280,1280,2586
254,13,2,1280,1280,2586
255,13,2,1280,1280,2586
256,13,2,1280,1280,2586
257,13,2,1280,1280,2586
258,13,2,1280,1280,2586
259,13,2,1280,1280,2586
260,13,2,1280,1280,2586
261,13,2,1280,1280,2586
262,13,2,1280,1280,2586
263,13,2,1280,1280,2586
264,13,2,1280,1280,2586
265,13,2,1280,1280,2586
266,13,2,1280,1280,2586
267,13,2,1280,1280,2586
268,13,2,1280,1280,2586
269,13,2,1280,1280,2586
270,13,2,1280,1280,2586
271,13,2,1280,1280,2586
272,13,2,1280,1280,2586
273,13,2,1280,1280,2586
274,13,2,1280,1280,2586
275,13,2,1280,1280,2586
276,13,2,1280,1280,2586
277,13,2,1280,1280,2586
278,13,2,1280,1280,2586
279,13,2,1280,1280,2586
280,13,2,1280,1280,2586
281,13,2,1280,1280,2586
282,13,2,1280,1280,2586
283,13,2,1280,1280,2586
284,13,2,1280,1280,2586
285,13,2,1280,1280,2586
286,13,2,1280,1280,2586
287,13,2,1280,1280,2586
288,13,2,1280,1280,2586
289,13,2,1280,1280,2586
290,13,2,1280,1280,2586
291,13,2,1280,1280,2586
292,13,2,1280,1280,2586
293,13,2,1280,1280,2586
294,13,2,1280,1280,2586
295,13,2,1280,1280,2586
296,13,2,1280,1280,2586
297,13,2,1280,1280,2586
298,13,2,1280,1280,2586
299,13,2,1280,1280,2586
300,13,2,1280,1280,2586
301,13,2,1280,1280,2586
302,13,2,1280,1280,2586
303,13,2,1280,1280,2586
304,13,2,1280,1280,2586
305,13,2,1280,1280,2586
306,13,2,1280,1280,2586
