r,h,k,n,infected,msgs
0,7,4,80,1,4
1,7,4,80,5,20
2,7,4,80,18,72
3,7,4,80,52,208
4,7,4,80,79,316
5,7,4,80,80,320
6,7,4,80,80,320
7,7,4,80,80,320
8,7,4,80,80,320
9,7,4,80,80,320
10,7,4,80,80,320
11,7,4,80,80,320
12,7,4,80,80,320
13,7,4,80,80,320
14,7,4,80,80,320
15,7,4,80,80,320
16,7,4,80,80,320
17,7,4,80,80,320
18,7,4,80,80,320
19,7,4,80,80,320
20,7,4,80,80,320
21,7,4,80,80,320
22,7,4,80,80,320
23,7,4,80,80,320
24,7,4,80,80,320
25,7,4,80,80,320
26,7,4,80,80,320
27,7,4,80,80,320
28,7,4,80,80,320
29,7,4,80,80,320
30,7,4,80,80,320
31,7,4,80,80,320
32,7,4,80,80,320
33,7,4,80,80,320
34,7,4,80,80,320
35,7,4,80,80,320
36,7,4,80,80,320
37,7,4,80,80,320
38,7,4,80,80,320
39,7,4,80,80,320
40,7,4,80,80,320
41,7,4,80,80,320
42,7,4,80,80,320
43,7,4,80,80,320
44,7,4,80,80,320
45,7,4,80,80,320
46,7,4,80,80,320
47,7,4,80,80,320
48,7,4,80,80,320
49,7,4,80,80,320
50,7,4,80,80,320
51,7,4,80,80,320
52,7,4,80,80,320
53,7,4,80,80,320
54,7,4,80,80,320
55,7,4,80,80,320
56,7,4,80,80,320
57,7,4,80,80,320
58,7,4,80,80,320
59,7,4,80,80,320
60,7,4,80,80,320
61,7,4,80,80,320
62,7,4,80,80,320
63,7,4,80,80,320
64,7,4,80,80,320
65,7,4,80,80,320
66,7,4,80,80,320
67,7,4,80,80,320
68,7,4,80,80,320
69,7,4,80,80,320
70,7,4,80,80,320
71,7,4,80,80,320
72,7,4,80,80,320
73,7,4,80,80,320
74,7,4,80,80,320
75,7,4,80,80,320
76,7,4,80,80,320
77,7,4,80,80,320
78,7,4,80,80,320
79,7,4,80,80,320
80,7,4,80,80,320
81,7,4,80,80,320
82,7,4,80,80,320
83,7,4,80,80,320
84,7,4,80,80,320
85,7,4,80,80,320
86,7,4,80,80,320
87,7,4,80,80,320
88,7,4,80,80,320
89,7,4,80,80,320
90,7,4,80,80,320
91,7,4,80,80,320
92,7,4,80,80,320
93,7,4,80,80,320
94,7,4,80,80,320
95,7,4,80,80,320
96,7,4,80,80,320
97,7,4,80,80,320
98,7,4,80,80,320
99,7,4,80,80,320
100,7,4,80,80,320
101,7,4,80,80,320
102,7,4,80,80,320
103,7,4,80,80,320
104,7,4,80,80,320
105,7,4,80,80,320
106,7,4,80,80,320
107,7,4,80,80,320
108,7,4,80,80,320
109,7,4,80,80,320
110,7,4,80,80,320
111,7,4,80,80,320
112,7,4,80,80,320
113,7,4,80,80,320
114,7,4,80,80,320
115,7,4,80,80,320
116,7,4,80,80,320
117,7,4,80,80,320
118,7,4,80,80,320
119,7,4,80,80,320
120,7,4,80,80,320
121,7,4,80,80,320
122,7,4,80,80,320
123,7,4,80,80,320
124,7,4,80,80,320
125,7,4,80,80,320
126,7,4,80,80,320
127,7,4,80,80,320
128,7,4,80,80,320
129,7,4,80,80,320
130,7,4,80,80,320
131,7,4,80,80,320
132,7,4,80,80,320
133,7,4,80,80,320
134,7,4,80,80,320
135,7,4,80,80,320
136,7,4,80,80,320
137,7,4,80,80,320
138,7,4,80,80,320
139,7,4,80,80,320
140,7,4,80,80,320
141,7,4,80,80,320
142,7,4,80,80,320
143,7,4,80,80,320
144,7,4,80,80,320
145,7,4,80,80,320
146,7,4,80,80,320
147,7,4,80,80,320
148,7,4,80,80,320
149,7,4,80,80,320
150,7,4,80,80,320
151,7,4,80,80,320
152,7,4,80,80,320
153,7,4,80,80,320
154,7,4,80,80,320
155,7,4,80,80,320
156,7,4,80,80,320
157,7,4,80,80,320
158,7,4,80,80,320
159,7,4,80,80,320
160,7,4,80,80,320
161,7,4,80,80,320
162,7,4,80,80,320
163,7,4,80,80,320
164,7,4,80,80,320
165,7,4,80,80,320
166,7,4,80,80,320
167,7,4,80,80,320
168,7,4,80,80,320
169,7,4,80,80,320
170,7,4,80,80,320
171,7,4,80,80,320
172,7,4,80,80,320
173,7,4,80,80,320
174,7,4,80,80,320
175,7,4,80,80,320
176,7,4,80,80,320
177,7,4,80,80,320
178,7,4,80,80,320
179,7,4,80,80,320
180,7,4,80,80,320
181,7,4,80,80,320
182,7,4,80,80,320
183,7,4,80,80,320
184,7,4,80,80,320
185,7,4,80,80,320
186,7,4,80,80,320
187,7,4,80,80,320
188,7,4,80,80,320
189,7,4,80,80,320
190,7,4,80,80,320
191,7,4,80,80,320
192,7,4,80,80,320
193,7,4,80,80,320
194,7,4,80,80,320
195,7,4,80,80,320
196,7,4,80,80,320
197,7,4,80,80,320
198,7,4,80,80,320
199,7,4,80,80,320
200,7,4,80,80,320
201,7,4,80,80,320
202,7,4,80,80,320
203,7,4,80,80,320
204,7,4,80,80,320
205,7,4,80,80,320
206,7,4,80,80,320
207,7,4,80,80,320
208,7,4,80,80,320
209,7,4,80,80,320
210,7,4,80,80,320
211,7,4,80,80,320
212,7,4,80,80,320
213,7,4,80,80,320
214,7,4,80,80,320
215,7,4,80,80,320
216,7,4,80,80,320
217,7,4,80,80,320
218,7,4,80,80,320
219,7,4,80,80,320
220,7,4,80,80,320
221,7,4,80,80,320
222,7,4,80,80,320
223,7,4,80,80,320
224,7,4,80,80,320
225,7,4,80,80,320
226,7,4,80,80,320
227,7,4,80,80,320
228,7,4,80,80,320
229,7,4,80,80,320
230,7,4,80,80,320
231,7,4,80,80,320
