r,h,k,n,infected,msgs
0,4,2,2560,1,2
1,4,2,2560,3,6
2,4,2,2560,7,14
3,4,2,2560,15,30
4,4,2,2560,31,62
5,4,2,2560,205,5120
6,4,2,2560,1014,9830
7,4,2,2560,2305,12922
8,4,2,2560,2560,13432
9,4,2,2560,2560,13432
10,4,2,2560,2560,13432
11,4,2,2560,2560,13432
12,4,2,2560,2560,13432
13,4,2,2560,2560,13432
14,4,2,2560,2560,13432
15,4,2,2560,2560,13432
16,4,2,2560,2560,13432
17,4,2,2560,2560,13432
18,4,2,2560,2560,13432
19,4,2,2560,2560,13432
20,4,2,2560,2560,13432
21,4,2,2560,2560,13432
22,4,2,2560,2560,13432
23,4,2,2560,2560,13432
24,4,2,2560,2560,13432
25,4,2,2560,2560,13432
26,4,2,2560,2560,13432
27,4,2,2560,2560,13432
28,4,2,2560,2560,13432
29,4,2,2560,2560,13432
30,4,2,2560,2560,13432
31,4,2,2560,2560,13432
32,4,2,2560,2560,13432
33,4,2,2560,2560,13432
34,4,2,2560,2560,13432
35,4,2,2560,2560,13432
36,4,2,2560,2560,13432
37,4,2,2560,2560,13432
38,4,2,2560,2560,13432
39,4,2,2560,2560,13432
40,4,2,2560,2560,13432
41,4,2,2560,2560,13432
42,4,2,2560,2560,13432
43,4,2,2560,2560,13432
44,4,2,2560,2560,13432
45,4,2,2560,2560,13432
46,4,2,2560,2560,13432
47,4,2,2560,2560,13432
48,4,2,2560,2560,13432
49,4,2,2560,2560,13432
50,4,2,2560,2560,13432
51,4,2,2560,2560,13432
52,4,2,2560,2560,13432
53,4,2,2560,2560,13432
54,4,2,2560,2560,13432
55,4,2,2560,2560,13432
56,4,2,2560,2560,13432
57,4,2,2560,2560,13432
58,4,2,2560,2560,13432
59,4,2,2560,2560,13432
60,4,2,2560,2560,13432
61,4,2,2560,2560,13432
62,4,2,2560,2560,13432
63,4,2,2560,2560,13432
64,4,2,2560,2560,13432
65,4,2,2560,2560,13432
66,4,2,2560,2560,13432
