r,h,k,n,infected,msgs
0,8,2,320,1,2
1,8,2,320,3,6
2,8,2,320,7,14
3,8,2,320,15,30
4,8,2,320,31,62
5,8,2,320,59,118
6,8,2,320,103,206
7,8,2,320,157,314
8,8,2,320,197,394
9,8,2,320,315,640
10,8,2,320,320,650
11,8,2,320,320,650
12,8,2,320,320,650
13,8,2,320,320,650
14,8,2,320,320,650
15,8,2,320,320,650
16,8,2,320,320,650
17,8,2,320,320,650
18,8,2,320,320,650
19,8,2,320,320,650
20,8,2,320,320,650
21,8,2,320,320,650
22,8,2,320,320,650
23,8,2,320,320,650
24,8,2,320,320,650
25,8,2,320,320,650
26,8,2,320,320,650
27,8,2,320,320,650
28,8,2,320,320,650
29,8,2,320,320,650
30,8,2,320,320,650
31,8,2,320,320,650
32,8,2,320,320,650
33,8,2,320,320,650
34,8,2,320,320,650
35,8,2,320,320,650
36,8,2,320,320,650
37,8,2,320,320,650
38,8,2,320,320,650
39,8,2,320,320,650
40,8,2,320,320,650
41,8,2,320,320,650
42,8,2,320,320,650
43,8,2,320,320,650
44,8,2,320,320,650
45,8,2,320,320,650
46,8,2,320,320,650
47,8,2,320,320,650
48,8,2,320,320,650
49,8,2,320,320,650
50,8,2,320,320,650
51,8,2,320,320,650
52,8,2,320,320,650
53,8,2,320,320,650
54,8,2,320,320,650
55,8,2,320,320,650
56,8,2,320,320,650
57,8,2,320,320,650
58,8,2,320,320,650
59,8,2,320,320,650
60,8,2,320,320,650
61,8,2,320,320,650
62,8,2,320,320,650
63,8,2,320,320,650
64,8,2,320,320,650
65,8,2,320,320,650
66,8,2,320,320,650
67,8,2,320,320,650
68,8,2,320,320,650
69,8,2,320,320,650
70,8,2,320,320,650
71,8,2,320,320,650
72,8,2,320,320,650
73,8,2,320,320,650
74,8,2,320,320,650
75,8,2,320,320,650
76,8,2,320,320,650
77,8,2,320,320,650
78,8,2,320,320,650
79,8,2,320,320,650
80,8,2,320,320,650
81,8,2,320,320,650
82,8,2,320,320,650
83,8,2,320,320,650
84,8,2,320,320,650
85,8,2,320,320,650
86,8,2,320,320,650
87,8,2,320,320,650
88,8,2,320,320,650
89,8,2,320,320,650
90,8,2,320,320,650
91,8,2,320,320,650
92,8,2,320,320,650
93,8,2,320,320,650
94,8,2,320,320,650
95,8,2,320,320,650
96,8,2,320,320,650
97,8,2,320,320,650
98,8,2,320,320,650
99,8,2,320,320,650
100,8,2,320,320,650
101,8,2,320,320,650
102,8,2,320,320,650
103,8,2,320,320,650
104,8,2,320,320,650
105,8,2,320,320,650
106,8,2,320,320,650
107,8,2,320,320,650
108,8,2,320,320,650
109,8,2,320,320,650
110,8,2,320,320,650
111,8,2,320,320,650
112,8,2,320,320,650
113,8,2,320,320,650
114,8,2,320,320,650
115,8,2,320,320,650
116,8,2,320,320,650
117,8,2,320,320,650
118,8,2,320,320,650
119,8,2,320,320,650
120,8,2,320,320,650
121,8,2,320,320,650
122,8,2,320,320,650
123,8,2,320,320,650
124,8,2,320,320,650
125,8,2,320,320,650
126,8,2,320,320,650
127,8,2,320,320,650
128,8,2,320,320,650
129,8,2,320,320,650
130,8,2,320,320,650
131,8,2,320,320,650
132,8,2,320,320,650
133,8,2,320,320,650
134,8,2,320,320,650
135,8,2,320,320,650
136,8,2,320,320,650
137,8,2,320,320,650
138,8,2,320,320,650
139,8,2,320,320,650
140,8,2,320,320,650
141,8,2,320,320,650
142,8,2,320,320,650
143,8,2,320,320,650
144,8,2,320,320,650
145,8,2,320,320,650
146,8,2,320,320,650
147,8,2,320,320,650
148,8,2,320,320,650
149,8,2,320,320,650
150,8,2,320,320,650
151,8,2,320,320,650
152,8,2,320,320,650
153,8,2,320,320,650
154,8,2,320,320,650
155,8,2,320,320,650
156,8,2,320,320,650
157,8,2,320,320,650
158,8,2,320,320,650
159,8,2,320,320,650
160,8,2,320,320,650
161,8,2,320,320,650
162,8,2,320,320,650
163,8,2,320,320,650
164,8,2,320,320,650
165,8,2,320,320,650
166,8,2,320,320,650
167,8,2,320,320,650
168,8,2,320,320,650
169,8,2,320,320,650
170,8,2,320,320,650
171,8,2,320,320,650
172,8,2,320,320,650
173,8,2,320,320,650
174,8,2,320,320,650
175,8,2,320,320,650
176,8,2,320,320,650
177,8,2,320,320,650
178,8,2,320,320,650
179,8,2,320,320,650
180,8,2,320,320,650
181,8,2,320,320,650
182,8,2,320,320,650
183,8,2,320,320,650
184,8,2,320,320,650
185,8,2,320,320,650
186,8,2,320,320,650
187,8,2,320,320,650
188,8,2,320,320,650
189,8,2,320,320,650
190,8,2,320,320,650
191,8,2,320,320,650
192,8,2,320,320,650
193,8,2,320,320,650
194,8,2,320,320,650
195,8,2,320,320,650
196,8,2,320,320,650
197,8,2,320,320,650
198,8,2,320,320,650
199,8,2,320,320,650
200,8,2,320,320,650
201,8,2,320,320,650
202,8,2,320,320,650
203,8,2,320,320,650
204,8,2,320,320,650
205,8,2,320,320,650
206,8,2,320,320,650
207,8,2,320,320,650
208,8,2,320,320,650
209,8,2,320,320,650
210,8,2,320,320,650
211,8,2,320,320,650
212,8,2,320,320,650
213,8,2,320,320,650
214,8,2,320,320,650
215,8,2,320,320,650
216,8,2,320,320,650
217,8,2,320,320,650
218,8,2,320,320,650
219,8,2,320,320,650
220,8,2,320,320,650
221,8,2,320,320,650
222,8,2,320,320,650
223,8,2,320,320,650
224,8,2,320,320,650
225,8,2,320,320,650
226,8,2,320,320,650
227,8,2,320,320,650
228,8,2,320,320,650
229,8,2,320,320,650
230,8,2,320,320,650
231,8,2,320,320,650
232,8,2,320,320,650
233,8,2,320,320,650
234,8,2,320,320,650
235,8,2,320,320,650
236,8,2,320,320,650
237,8,2,320,320,650
238,8,2,320,320,650
239,8,2,320,320,650
240,8,2,320,320,650
241,8,2,320,320,650
242,8,2,320,320,650
243,8,2,320,320,650
244,8,2,320,320,650
245,8,2,320,320,650
246,8,2,320,320,650
247,8,2,320,320,650
248,8,2,320,320,650
249,8,2,320,320,650
250,8,2,320,320,650
251,8,2,320,320,650
252,8,2,320,320,650
253,8,2,320,320,650
254,8,2,320,320,650
255,8,2,320,320,650
256,8,2,320,320,650
257,8,2,320,320,650
258,8,2,320,320,650
259,8,2,320,320,650
260,8,2,320,320,650
261,8,2,320,320,650
262,8,2,320,320,650
263,8,2,320,320,650
264,8,2,320,320,650
265,8,2,320,320,650
266,8,2,320,320,650
267,8,2,320,320,650
268,8,2,320,320,650
269,8,2,320,320,650
270,8,2,320,320,650
271,8,2,320,320,650
272,8,2,320,320,650
273,8,2,320,320,650
274,8,2,320,320,650
275,8,2,320,320,650
276,8,2,320,320,650
277,8,2,320,320,650
278,8,2,320,320,650
279,8,2,320,320,650
280,8,2,320,320,650
281,8,2,320,320,650
282,8,2,320,320,650
283,8,2,320,320,650
284,8,2,320,320,650
285,8,2,320,320,650
286,8,2,320,320,650
287,8,2,320,320,650
288,8,2,320,320,650
289,8,2,320,320,650
290,8,2,320,320,650
291,8,2,320,320,650
292,8,2,320,320,650
293,8,2,320,320,650
294,8,2,320,320,650
295,8,2,320,320,650
296,8,2,320,320,650
297,8,2,320,320,650
298,8,2,320,320,650
299,8,2,320,320,650
300,8,2,320,320,650
301,8,2,320,320,650
302,8,2,320,320,650
303,8,2,320,320,650
304,8,2,320,320,650
305,8,2,320,320,650
306,8,2,320,320,650
307,8,2,320,320,650
308,8,2,320,320,650
309,8,2,320,320,650
310,8,2,320,320,650
311,8,2,320,320,650
312,8,2,320,320,650
313,8,2,320,320,650
314,8,2,320,320,650
315,8,2,320,320,650
316,8,2,320,320,650
317,8,2,320,320,650
318,8,2,320,320,650
319,8,2,320,320,650
320,8,2,320,320,650
321,8,2,320,320,650
322,8,2,320,320,650
323,8,2,320,320,650
324,8,2,320,320,650
325,8,2,320,320,650
326,8,2,320,320,650
327,8,2,320,320,650
328,8,2,320,320,650
329,8,2,320,320,650
330,8,2,320,320,650
331,8,2,320,320,650
332,8,2,320,320,650
333,8,2,320,320,650
334,8,2,320,320,650
335,8,2,320,320,650
336,8,2,320,320,650
337,8,2,320,320,650
338,8,2,320,320,650
339,8,2,320,320,650
340,8,2,320,320,650
341,8,2,320,320,650
342,8,2,320,320,650
343,8,2,320,320,650
344,8,2,320,320,650
345,8,2,320,320,650
346,8,2,320,320,650
347,8,2,320,320,650
348,8,2,320,320,650
349,8,2,320,320,650
350,8,2,320,320,650
351,8,2,320,320,650
352,8,2,320,320,650
353,8,2,320,320,650
354,8,2,320,320,650
355,8,2,320,320,650
356,8,2,320,320,650
357,8,2,320,320,650
358,8,2,320,320,650
359,8,2,320,320,650
360,8,2,320,320,650
361,8,2,320,320,650
362,8,2,320,320,650
363,8,2,320,320,650
364,8,2,320,320,650
365,8,2,320,320,650
366,8,2,320,320,650
367,8,2,320,320,650
368,8,2,320,320,650
369,8,2,320,320,650
370,8,2,320,320,650
371,8,2,320,320,650
372,8,2,320,320,650
373,8,2,320,320,650
374,8,2,320,320,650
375,8,2,320,320,650
376,8,2,320,320,650
377,8,2,320,320,650
378,8,2,320,320,650
379,8,2,320,320,650
380,8,2,320,320,650
381,8,2,320,320,650
382,8,2,320,320,650
383,8,2,320,320,650
384,8,2,320,320,650
385,8,2,320,320,650
386,8,2,320,320,650
387,8,2,320,320,650
388,8,2,320,320,650
389,8,2,320,320,650
390,8,2,320,320,650
391,8,2,320,320,650
392,8,2,320,320,650
393,8,2,320,320,650
394,8,2,320,320,650
395,8,2,320,320,650
396,8,2,320,320,650
397,8,2,320,320,650
398,8,2,320,320,650
399,8,2,320,320,650
400,8,2,320,320,650
401,8,2,320,320,650
402,8,2,320,320,650
403,8,2,320,320,650
404,8,2,320,320,650
405,8,2,320,320,650
406,8,2,320,320,650
407,8,2,320,320,650
408,8,2,320,320,650
409,8,2,320,320,650
410,8,2,320,320,650
411,8,2,320,320,650
412,8,2,320,320,650
413,8,2,320,320,650
414,8,2,320,320,650
415,8,2,320,320,650
416,8,2,320,320,650
417,8,2,320,320,650
418,8,2,320,320,650
419,8,2,320,320,650
420,8,2,320,320,650
421,8,2,320,320,650
422,8,2,320,320,650
423,8,2,320,320,650
424,8,2,320,320,650
425,8,2,320,320,650
426,8,2,320,320,650
427,8,2,320,320,650
428,8,2,320,320,650
429,8,2,320,320,650
430,8,2,320,320,650
431,8,2,320,320,650
432,8,2,320,320,650
433,8,2,320,320,650
434,8,2,320,320,650
435,8,2,320,320,650
436,8,2,320,320,650
437,8,2,320,320,650
438,8,2,320,320,650
439,8,2,320,320,650
440,8,2,320,320,650
441,8,2,320,320,650
442,8,2,320,320,650
443,8,2,320,320,650
444,8,2,320,320,650
445,8,2,320,320,650
446,8,2,320,320,650
447,8,2,320,320,650
448,8,2,320,320,650
449,8,2,320,320,650
450,8,2,320,320,650
451,8,2,320,320,650
452,8,2,320,320,650
453,8,2,320,320,650
454,8,2,320,320,650
455,8,2,320,320,650
456,8,2,320,320,650
457,8,2,320,320,650
458,8,2,320,320,650
459,8,2,320,320,650
460,8,2,320,320,650
461,8,2,320,320,650
462,8,2,320,320,650
463,8,2,320,320,650
464,8,2,320,320,650
465,8,2,320,320,650
466,8,2,320,320,650
467,8,2,320,320,650
468,8,2,320,320,650
469,8,2,320,320,650
470,8,2,320,320,650
471,8,2,320,320,650
472,8,2,320,320,650
473,8,2,320,320,650
474,8,2,320,320,650
475,8,2,320,320,650
476,8,2,320,320,650
477,8,2,320,320,650
478,8,2,320,320,650
479,8,2,320,320,650
480,8,2,320,320,650
481,8,2,320,320,650
482,8,2,320,320,650
483,8,2,320,320,650
484,8,2,320,320,650
485,8,2,320,320,650
486,8,2,320,320,650
487,8,2,320,320,650
488,8,2,320,320,650
489,8,2,320,320,650
490,8,2,320,320,650
491,8,2,320,320,650
492,8,2,320,320,650
493,8,2,320,320,650
494,8,2,320,320,650
495,8,2,320,320,650
496,8,2,320,320,650
497,8,2,320,320,650
498,8,2,320,320,650
499,8,2,320,320,650
500,8,2,320,320,650
501,8,2,320,320,650
502,8,2,320,320,650
503,8,2,320,320,650
504,8,2,320,320,650
505,8,2,320,320,650
506,8,2,320,320,650
507,8,2,320,320,650
508,8,2,320,320,650
509,8,2,320,320,650
510,8,2,320,320,650
511,8,2,320,320,650
512,8,2,320,320,650
513,8,2,320,320,650
514,8,2,320,320,650
515,8,2,320,320,650
516,8,2,320,320,650
517,8,2,320,320,650
518,8,2,320,320,650
519,8,2,320,320,650
520,8,2,320,320,650
521,8,2,320,320,650
522,8,2,320,320,650
523,8,2,320,320,650
524,8,2,320,320,650
525,8,2,320,320,650
526,8,2,320,320,650
527,8,2,320,320,650
528,8,2,320,320,650
529,8,2,320,320,650
530,8,2,320,320,650
531,8,2,320,320,650
532,8,2,320,320,650
533,8,2,320,320,650
534,8,2,320,320,650
535,8,2,320,320,650
536,8,2,320,320,650
537,8,2,320,320,650
538,8,2,320,320,650
539,8,2,320,320,650
540,8,2,320,320,650
541,8,2,320,320,650
542,8,2,320,320,650
543,8,2,320,320,650
544,8,2,320,320,650
545,8,2,320,320,650
546,8,2,320,320,650
547,8,2,320,320,650
548,8,2,320,320,650
549,8,2,320,320,650
550,8,2,320,320,650
551,8,2,320,320,650
552,8,2,320,320,650
553,8,2,320,320,650
554,8,2,320,320,650
