r,h,k,n,infected,msgs
0,4,1,320,1,1
1,4,1,320,2,2
2,4,1,320,3,3
3,4,1,320,4,4
4,4,1,320,5,5
5,4,1,320,8,320
6,4,1,320,18,632
7,4,1,320,66,934
8,4,1,320,146,1188
9,4,1,320,249,1362
10,4,1,320,309,1433
11,4,1,320,320,1444
12,4,1,320,320,1444
13,4,1,320,320,1444
14,4,1,320,320,1444
15,4,1,320,320,1444
16,4,1,320,320,1444
17,4,1,320,320,1444
18,4,1,320,320,1444
19,4,1,320,320,1444
20,4,1,320,320,1444
21,4,1,320,320,1444
22,4,1,320,320,1444
23,4,1,320,320,1444
24,4,1,320,320,1444
25,4,1,320,320,1444
26,4,1,320,320,1444
27,4,1,320,320,1444
28,4,1,320,320,1444
29,4,1,320,320,1444
30,4,1,320,320,1444
31,4,1,320,320,1444
32,4,1,320,320,1444
33,4,1,320,320,1444
34,4,1,320,320,1444
35,4,1,320,320,1444
36,4,1,320,320,1444
37,4,1,320,320,1444
38,4,1,320,320,1444
39,4,1,320,320,1444
40,4,1,320,320,1444
41,4,1,320,320,1444
42,4,1,320,320,1444
43,4,1,320,320,1444
44,4,1,320,320,1444
45,4,1,320,320,1444
46,4,1,320,320,1444
47,4,1,320,320,1444
48,4,1,320,320,1444
49,4,1,320,320,1444
50,4,1,320,320,1444
51,4,1,320,320,1444
52,4,1,320,320,1444
53,4,1,320,320,1444
54,4,1,320,320,1444
55,4,1,320,320,1444
56,4,1,320,320,1444
57,4,1,320,320,1444
58,4,1,320,320,1444
59,4,1,320,320,1444
60,4,1,320,320,1444
61,4,1,320,320,1444
62,4,1,320,320,1444
63,4,1,320,320,1444
64,4,1,320,320,1444
65,4,1,320,320,1444
66,4,1,320,320,1444
67,4,1,320,320,1444
68,4,1,320,320,1444
69,4,1,320,320,1444
70,4,1,320,320,1444
71,4,1,320,320,1444
72,4,1,320,320,1444
73,4,1,320,320,1444
74,4,1,320,320,1444
75,4,1,320,320,1444
76,4,1,320,320,1444
77,4,1,320,320,1444
78,4,1,320,320,1444
79,4,1,320,320,1444
80,4,1,320,320,1444
81,4,1,320,320,1444
82,4,1,320,320,1444
83,4,1,320,320,1444
84,4,1,320,320,1444
85,4,1,320,320,1444
86,4,1,320,320,1444
87,4,1,320,320,1444
88,4,1,320,320,1444
89,4,1,320,320,1444
90,4,1,320,320,1444
91,4,1,320,320,1444
92,4,1,320,320,1444
93,4,1,320,320,1444
94,4,1,320,320,1444
95,4,1,320,320,1444
96,4,1,320,320,1444
97,4,1,320,320,1444
98,4,1,320,320,1444
99,4,1,320,320,1444
100,4,1,320,320,1444
101,4,1,320,320,1444
102,4,1,320,320,1444
103,4,1,320,320,1444
104,4,1,320,320,1444
105,4,1,320,320,1444
106,4,1,320,320,1444
107,4,1,320,320,1444
108,4,1,320,320,1444
109,4,1,320,320,1444
110,4,1,320,320,1444
111,4,1,320,320,1444
112,4,1,320,320,1444
113,4,1,320,320,1444
114,4,1,320,320,1444
115,4,1,320,320,1444
116,4,1,320,320,1444
117,4,1,320,320,1444
118,4,1,320,320,1444
119,4,1,320,320,1444
120,4,1,320,320,1444
121,4,1,320,320,1444
122,4,1,320,320,1444
123,4,1,320,320,1444
124,4,1,320,320,1444
125,4,1,320,320,1444
126,4,1,320,320,1444
127,4,1,320,320,1444
128,4,1,320,320,1444
129,4,1,320,320,1444
130,4,1,320,320,1444
131,4,1,320,320,1444
132,4,1,320,320,1444
133,4,1,320,320,1444
134,4,1,320,320,1444
135,4,1,320,320,1444
136,4,1,320,320,1444
137,4,1,320,320,1444
138,4,1,320,320,1444
139,4,1,320,320,1444
140,4,1,320,320,1444
141,4,1,320,320,1444
142,4,1,320,320,1444
143,4,1,320,320,1444
144,4,1,320,320,1444
145,4,1,320,320,1444
146,4,1,320,320,1444
147,4,1,320,320,1444
148,4,1,320,320,1444
149,4,1,320,320,1444
150,4,1,320,320,1444
151,4,1,320,320,1444
152,4,1,320,320,1444
153,4,1,320,320,1444
154,4,1,320,320,1444
155,4,1,320,320,1444
156,4,1,320,320,1444
157,4,1,320,320,1444
158,4,1,320,320,1444
159,4,1,320,320,1444
160,4,1,320,320,1444
161,4,1,320,320,1444
162,4,1,320,320,1444
163,4,1,320,320,1444
164,4,1,320,320,1444
165,4,1,320,320,1444
166,4,1,320,320,1444
167,4,1,320,320,1444
168,4,1,320,320,1444
169,4,1,320,320,1444
170,4,1,320,320,1444
171,4,1,320,320,1444
172,4,1,320,320,1444
173,4,1,320,320,1444
174,4,1,320,320,1444
175,4,1,320,320,1444
176,4,1,320,320,1444
177,4,1,320,320,1444
178,4,1,320,320,1444
179,4,1,320,320,1444
180,4,1,320,320,1444
181,4,1,320,320,1444
182,4,1,320,320,1444
183,4,1,320,320,1444
184,4,1,320,320,1444
185,4,1,320,320,1444
186,4,1,320,320,1444
187,4,1,320,320,1444
188,4,1,320,320,1444
189,4,1,320,320,1444
190,4,1,320,320,1444
191,4,1,320,320,1444
192,4,1,320,320,1444
193,4,1,320,320,1444
194,4,1,320,320,1444
195,4,1,320,320,1444
196,4,1,320,320,1444
197,4,1,320,320,1444
198,4,1,320,320,1444
199,4,1,320,320,1444
200,4,1,320,320,1444
201,4,1,320,320,1444
202,4,1,320,320,1444
203,4,1,320,320,1444
204,4,1,320,320,1444
205,4,1,320,320,1444
206,4,1,320,320,1444
207,4,1,320,320,1444
208,4,1,320,320,1444
209,4,1,320,320,1444
210,4,1,320,320,1444
211,4,1,320,320,1444
212,4,1,320,320,1444
213,4,1,320,320,1444
214,4,1,320,320,1444
215,4,1,320,320,1444
216,4,1,320,320,1444
217,4,1,320,320,1444
218,4,1,320,320,1444
219,4,1,320,320,1444
220,4,1,320,320,1444
221,4,1,320,320,1444
222,4,1,320,320,1444
223,4,1,320,320,1444
224,4,1,320,320,1444
225,4,1,320,320,1444
226,4,1,320,320,1444
227,4,1,320,320,1444
228,4,1,320,320,1444
229,4,1,320,320,1444
230,4,1,320,320,1444
231,4,1,320,320,1444
232,4,1,320,320,1444
233,4,1,320,320,1444
234,4,1,320,320,1444
235,4,1,320,320,1444
236,4,1,320,320,1444
237,4,1,320,320,1444
238,4,1,320,320,1444
239,4,1,320,320,1444
240,4,1,320,320,1444
241,4,1,320,320,1444
242,4,1,320,320,1444
243,4,1,320,320,1444
244,4,1,320,320,1444
245,4,1,320,320,1444
246,4,1,320,320,1444
247,4,1,320,320,1444
248,4,1,320,320,1444
249,4,1,320,320,1444
250,4,1,320,320,1444
251,4,1,320,320,1444
252,4,1,320,320,1444
253,4,1,320,320,1444
254,4,1,320,320,1444
255,4,1,320,320,1444
256,4,1,320,320,1444
257,4,1,320,320,1444
258,4,1,320,320,1444
259,4,1,320,320,1444
260,4,1,320,320,1444
261,4,1,320,320,1444
262,4,1,320,320,1444
263,4,1,320,320,1444
264,4,1,320,320,1444
265,4,1,320,320,1444
266,4,1,320,320,1444
267,4,1,320,320,1444
268,4,1,320,320,1444
269,4,1,320,320,1444
270,4,1,320,320,1444
271,4,1,320,320,1444
272,4,1,320,320,1444
273,4,1,320,320,1444
274,4,1,320,320,1444
275,4,1,320,320,1444
276,4,1,320,320,1444
277,4,1,320,320,1444
278,4,1,320,320,1444
279,4,1,320,320,1444
280,4,1,320,320,1444
281,4,1,320,320,1444
282,4,1,320,320,1444
283,4,1,320,320,1444
284,4,1,320,320,1444
285,4,1,320,320,1444
286,4,1,320,320,1444
287,4,1,320,320,1444
288,4,1,320,320,1444
289,4,1,320,320,1444
290,4,1,320,320,1444
291,4,1,320,320,1444
292,4,1,320,320,1444
293,4,1,320,320,1444
294,4,1,320,320,1444
295,4,1,320,320,1444
296,4,1,320,320,1444
297,4,1,320,320,1444
298,4,1,320,320,1444
299,4,1,320,320,1444
300,4,1,320,320,1444
301,4,1,320,320,1444
302,4,1,320,320,1444
303,4,1,320,320,1444
304,4,1,320,320,1444
305,4,1,320,320,1444
306,4,1,320,320,1444
307,4,1,320,320,1444
308,4,1,320,320,1444
309,4,1,320,320,1444
310,4,1,320,320,1444
311,4,1,320,320,1444
312,4,1,320,320,1444
313,4,1,320,320,1444
314,4,1,320,320,1444
315,4,1,320,320,1444
316,4,1,320,320,1444
317,4,1,320,320,1444
318,4,1,320,320,1444
319,4,1,320,320,1444
320,4,1,320,320,1444
321,4,1,320,320,1444
322,4,1,320,320,1444
323,4,1,320,320,1444
324,4,1,320,320,1444
325,4,1,320,320,1444
326,4,1,320,320,1444
327,4,1,320,320,1444
328,4,1,320,320,1444
329,4,1,320,320,1444
330,4,1,320,320,1444
331,4,1,320,320,1444
332,4,1,320,320,1444
333,4,1,320,320,1444
