r,h,k,n,infected,msgs
0,12,2,2560,1,2
1,12,2,2560,3,6
2,12,2,2560,7,14
3,12,2,2560,15,30
4,12,2,2560,31,62
5,12,2,2560,62,124
6,12,2,2560,122,244
7,12,2,2560,235,470
8,12,2,2560,435,870
9,12,2,2560,739,1478
10,12,2,2560,1122,2244
11,12,2,2560,1491,2982
12,12,2,2560,1768,3536
13,12,2,2560,2537,5120
14,12,2,2560,2560,5166
15,12,2,2560,2560,5166
16,12,2,2560,2560,5166
17,12,2,2560,2560,5166
18,12,2,2560,2560,5166
19,12,2,2560,2560,5166
20,12,2,2560,2560,5166
21,12,2,2560,2560,5166
22,12,2,2560,2560,5166
23,12,2,2560,2560,5166
24,12,2,2560,2560,5166
25,12,2,2560,2560,5166
26,12,2,2560,2560,5166
27,12,2,2560,2560,5166
28,12,2,2560,2560,5166
29,12,2,2560,2560,5166
30,12,2,2560,2560,5166
31,12,2,2560,2560,5166
32,12,2,2560,2560,5166
33,12,2,2560,2560,5166
34,12,2,2560,2560,5166
35,12,2,2560,2560,5166
36,12,2,2560,2560,5166
37,12,2,2560,2560,5166
38,12,2,2560,2560,5166
39,12,2,2560,2560,5166
40,12,2,2560,2560,5166
41,12,2,2560,2560,5166
42,12,2,2560,2560,5166
43,12,2,2560,2560,5166
44,12,2,2560,2560,5166
45,12,2,2560,2560,5166
46,12,2,2560,2560,5166
47,12,2,2560,2560,5166
48,12,2,2560,2560,5166
49,12,2,2560,2560,5166
50,12,2,2560,2560,5166
51,12,2,2560,2560,5166
52,12,2,2560,2560,5166
53,12,2,2560,2560,5166
54,12,2,2560,2560,5166
55,12,2,2560,2560,5166
56,12,2,2560,2560,5166
57,12,2,2560,2560,5166
58,12,2,2560,2560,5166
59,12,2,2560,2560,5166
60,12,2,2560,2560,5166
61,12,2,2560,2560,5166
62,12,2,2560,2560,5166
63,12,2,2560,2560,5166
64,12,2,2560,2560,5166
65,12,2,2560,2560,5166
66,12,2,2560,2560,5166
67,12,2,2560,2560,5166
68,12,2,2560,2560,5166
69,12,2,2560,2560,5166
70,12,2,2560,2560,5166
71,12,2,2560,2560,5166
72,12,2,2560,2560,5166
73,12,2,2560,2560,5166
74,12,2,2560,2560,5166
75,12,2,2560,2560,5166
76,12,2,2560,2560,5166
77,12,2,2560,2560,5166
78,12,2,2560,2560,5166
79,12,2,2560,2560,5166
80,12,2,2560,2560,5166
81,12,2,2560,2560,5166
82,12,2,2560,2560,5166
83,12,2,2560,2560,5166
84,12,2,2560,2560,5166
85,12,2,2560,2560,5166
86,12,2,2560,2560,5166
87,12,2,2560,2560,5166
88,12,2,2560,2560,5166
89,12,2,2560,2560,5166
90,12,2,2560,2560,5166
91,12,2,2560,2560,5166
92,12,2,2560,2560,5166
93,12,2,2560,2560,5166
94,12,2,2560,2560,5166
95,12,2,2560,2560,5166
96,12,2,2560,2560,5166
97,12,2,2560,2560,5166
98,12,2,2560,2560,5166
99,12,2,2560,2560,5166
100,12,2,2560,2560,5166
101,12,2,2560,2560,5166
102,12,2,2560,2560,5166
103,12,2,2560,2560,5166
104,12,2,2560,2560,5166
105,12,2,2560,2560,5166
106,12,2,2560,2560,5166
107,12,2,2560,2560,5166
108,12,2,2560,2560,5166
109,12,2,2560,2560,5166
110,12,2,2560,2560,5166
111,12,2,2560,2560,5166
112,12,2,2560,2560,5166
113,12,2,2560,2560,5166
114,12,2,2560,2560,5166
115,12,2,2560,2560,5166
116,12,2,2560,2560,5166
117,12,2,2560,2560,5166
118,12,2,2560,2560,5166
119,12,2,2560,2560,5166
120,12,2,2560,2560,5166
121,12,2,2560,2560,5166
122,12,2,2560,2560,5166
123,12,2,2560,2560,5166
124,12,2,2560,2560,5166
125,12,2,2560,2560,5166
126,12,2,2560,2560,5166
127,12,2,2560,2560,5166
128,12,2,2560,2560,5166
129,12,2,2560,2560,5166
130,12,2,2560,2560,5166
131,12,2,2560,2560,5166
132,12,2,2560,2560,5166
133,12,2,2560,2560,5166
134,12,2,2560,2560,5166
135,12,2,2560,2560,5166
136,12,2,2560,2560,5166
137,12,2,2560,2560,5166
138,12,2,2560,2560,5166
139,12,2,2560,2560,5166
140,12,2,2560,2560,5166
141,12,2,2560,2560,5166
142,12,2,2560,2560,5166
143,12,2,2560,2560,5166
144,12,2,2560,2560,5166
145,12,2,2560,2560,5166
146,12,2,2560,2560,5166
147,12,2,2560,2560,5166
148,12,2,2560,2560,5166
149,12,2,2560,2560,5166
150,12,2,2560,2560,5166
151,12,2,2560,2560,5166
152,12,2,2560,2560,5166
153,12,2,2560,2560,5166
154,12,2,2560,2560,5166
155,12,2,2560,2560,5166
156,12,2,2560,2560,5166
157,12,2,2560,2560,5166
158,12,2,2560,2560,5166
159,12,2,2560,2560,5166
160,12,2,2560,2560,5166
161,12,2,2560,2560,5166
162,12,2,2560,2560,5166
163,12,2,2560,2560,5166
164,12,2,2560,2560,5166
165,12,2,2560,2560,5166
166,12,2,2560,2560,5166
167,12,2,2560,2560,5166
168,12,2,2560,2560,5166
169,12,2,2560,2560,5166
170,12,2,2560,2560,5166
171,12,2,2560,2560,5166
172,12,2,2560,2560,5166
173,12,2,2560,2560,5166
174,12,2,2560,2560,5166
