r,h,k,n,infected,msgs
0,5,32,1280,1,32
1,5,32,1280,33,1056
2,5,32,1280,728,23296
3,5,32,1280,1280,40960
4,5,32,1280,1280,40960
5,5,32,1280,1280,40960
6,5,32,1280,1280,40960
7,5,32,1280,1280,40960
8,5,32,1280,1280,40960
9,5,32,1280,1280,40960
10,5,32,1280,1280,40960
11,5,32,1280,1280,40960
12,5,32,1280,1280,40960
13,5,32,1280,1280,40960
14,5,32,1280,1280,40960
15,5,32,1280,1280,40960
16,5,32,1280,1280,40960
17,5,32,1280,1280,40960
18,5,32,1280,1280,40960
19,5,32,1280,1280,40960
20,5,32,1280,1280,40960
21,5,32,1280,1280,40960
22,5,32,1280,1280,40960
23,5,32,1280,1280,40960
24,5,32,1280,1280,40960
25,5,32,1280,1280,40960
26,5,32,1280,1280,40960
27,5,32,1280,1280,40960
28,5,32,1280,1280,40960
29,5,32,1280,1280,40960
30,5,32,1280,1280,40960
31,5,32,1280,1280,40960
32,5,32,1280,1280,40960
33,5,32,1280,1280,40960
34,5,32,1280,1280,40960
35,5,32,1280,1280,40960
36,5,32,1280,1280,40960
37,5,32,1280,1280,40960
38,5,32,1280,1280,40960
39,5,32,1280,1280,40960
40,5,32,1280,1280,40960
41,5,32,1280,1280,40960
42,5,32,1280,1280,40960
43,5,32,1280,1280,40960
44,5,32,1280,1280,40960
45,5,32,1280,1280,40960
46,5,32,1280,1280,40960
47,5,32,1280,1280,40960
48,5,32,1280,1280,40960
49,5,32,1280,1280,40960
50,5,32,1280,1280,40960
51,5,32,1280,1280,40960
52,5,32,1280,1280,40960
53,5,32,1280,1280,40960
54,5,32,1280,1280,40960
55,5,32,1280,1280,40960
56,5,32,1280,1280,40960
57,5,32,1280,1280,40960
58,5,32,1280,1280,40960
59,5,32,1280,1280,40960
60,5,32,1280,1280,40960
61,5,32,1280,1280,40960
62,5,32,1280,1280,40960
63,5,32,1280,1280,40960
64,5,32,1280,1280,40960
65,5,32,1280,1280,40960
66,5,32,1280,1280,40960
67,5,32,1280,1280,40960
68,5,32,1280,1280,40960
69,5,32,1280,1280,40960
70,5,32,1280,1280,40960
71,5,32,1280,1280,40960
72,5,32,1280,1280,40960
73,5,32,1280,1280,40960
74,5,32,1280,1280,40960
75,5,32,1280,1280,40960
76,5,32,1280,1280,40960
77,5,32,1280,1280,40960
78,5,32,1280,1280,40960
79,5,32,1280,1280,40960
80,5,32,1280,1280,40960
81,5,32,1280,1280,40960
82,5,32,1280,1280,40960
83,5,32,1280,1280,40960
84,5,32,1280,1280,40960
85,5,32,1280,1280,40960
86,5,32,1280,1280,40960
87,5,32,1280,1280,40960
88,5,32,1280,1280,40960
89,5,32,1280,1280,40960
90,5,32,1280,1280,40960
91,5,32,1280,1280,40960
92,5,32,1280,1280,40960
93,5,32,1280,1280,40960
94,5,32,1280,1280,40960
95,5,32,1280,1280,40960
96,5,32,1280,1280,40960
97,5,32,1280,1280,40960
98,5,32,1280,1280,40960
99,5,32,1280,1280,40960
100,5,32,1280,1280,40960
101,5,32,1280,1280,40960
102,5,32,1280,1280,40960
103,5,32,1280,1280,40960
104,5,32,1280,1280,40960
105,5,32,1280,1280,40960
106,5,32,1280,1280,40960
107,5,32,1280,1280,40960
108,5,32,1280,1280,40960
109,5,32,1280,1280,40960
110,5,32,1280,1280,40960
111,5,32,1280,1280,40960
112,5,32,1280,1280,40960
113,5,32,1280,1280,40960
114,5,32,1280,1280,40960
115,5,32,1280,1280,40960
116,5,32,1280,1280,40960
