r,h,k,n,infected,msgs
0,7,1,1280,1,1
1,7,1,1280,2,2
2,7,1,1280,3,3
3,7,1,1280,4,4
4,7,1,1280,5,5
5,7,1,1280,6,6
6,7,1,1280,7,7
7,7,1,1280,8,8
8,7,1,1280,19,1280
9,7,1,1280,36,2541
10,7,1,1280,99,3785
11,7,1,1280,238,4966
12,7,1,1280,515,6008
13,7,1,1280,927,6773
14,7,1,1280,1224,7126
15,7,1,1280,1279,7182
16,7,1,1280,1280,7183
17,7,1,1280,1280,7183
18,7,1,1280,1280,7183
19,7,1,1280,1280,7183
20,7,1,1280,1280,7183
21,7,1,1280,1280,7183
22,7,1,1280,1280,7183
23,7,1,1280,1280,7183
24,7,1,1280,1280,7183
25,7,1,1280,1280,7183
26,7,1,1280,1280,7183
27,7,1,1280,1280,7183
28,7,1,1280,1280,7183
29,7,1,1280,1280,7183
30,7,1,1280,1280,7183
31,7,1,1280,1280,7183
32,7,1,1280,1280,7183
33,7,1,1280,1280,7183
34,7,1,1280,1280,7183
35,7,1,1280,1280,7183
36,7,1,1280,1280,7183
37,7,1,1280,1280,7183
38,7,1,1280,1280,7183
39,7,1,1280,1280,7183
40,7,1,1280,1280,7183
41,7,1,1280,1280,7183
42,7,1,1280,1280,7183
43,7,1,1280,1280,7183
44,7,1,1280,1280,7183
45,7,1,1280,1280,7183
46,7,1,1280,1280,7183
47,7,1,1280,1280,7183
48,7,1,1280,1280,7183
49,7,1,1280,1280,7183
50,7,1,1280,1280,7183
51,7,1,1280,1280,7183
52,7,1,1280,1280,7183
53,7,1,1280,1280,7183
54,7,1,1280,1280,7183
55,7,1,1280,1280,7183
56,7,1,1280,1280,7183
57,7,1,1280,1280,7183
58,7,1,1280,1280,7183
59,7,1,1280,1280,7183
60,7,1,1280,1280,7183
61,7,1,1280,1280,7183
62,7,1,1280,1280,7183
63,7,1,1280,1280,7183
64,7,1,1280,1280,7183
65,7,1,1280,1280,7183
66,7,1,1280,1280,7183
67,7,1,1280,1280,7183
68,7,1,1280,1280,7183
69,7,1,1280,1280,7183
70,7,1,1280,1280,7183
71,7,1,1280,1280,7183
72,7,1,1280,1280,7183
73,7,1,1280,1280,7183
74,7,1,1280,1280,7183
75,7,1,1280,1280,7183
76,7,1,1280,1280,7183
77,7,1,1280,1280,7183
78,7,1,1280,1280,7183
79,7,1,1280,1280,7183
80,7,1,1280,1280,7183
81,7,1,1280,1280,7183
82,7,1,1280,1280,7183
83,7,1,1280,1280,7183
84,7,1,1280,1280,7183
85,7,1,1280,1280,7183
86,7,1,1280,1280,7183
87,7,1,1280,1280,7183
88,7,1,1280,1280,7183
89,7,1,1280,1280,7183
90,7,1,1280,1280,7183
91,7,1,1280,1280,7183
92,7,1,1280,1280,7183
93,7,1,1280,1280,7183
94,7,1,1280,1280,7183
95,7,1,1280,1280,7183
96,7,1,1280,1280,7183
97,7,1,1280,1280,7183
98,7,1,1280,1280,7183
99,7,1,1280,1280,7183
100,7,1,1280,1280,7183
101,7,1,1280,1280,7183
102,7,1,1280,1280,7183
103,7,1,1280,1280,7183
104,7,1,1280,1280,7183
105,7,1,1280,1280,7183
106,7,1,1280,1280,7183
107,7,1,1280,1280,7183
108,7,1,1280,1280,7183
109,7,1,1280,1280,7183
