r,h,k,n,infected,msgs
0,2,64,2560,1,64
1,2,64,2560,65,4160
2,2,64,2560,2066,132224
3,2,64,2560,2560,163840
4,2,64,2560,2560,163840
5,2,64,2560,2560,163840
6,2,64,2560,2560,163840
7,2,64,2560,2560,163840
8,2,64,2560,2560,163840
9,2,64,2560,2560,163840
10,2,64,2560,2560,163840
11,2,64,2560,2560,163840
12,2,64,2560,2560,163840
13,2,64,2560,2560,163840
14,2,64,2560,2560,163840
15,2,64,2560,2560,163840
16,2,64,2560,2560,163840
17,2,64,2560,2560,163840
18,2,64,2560,2560,163840
19,2,64,2560,2560,163840
20,2,64,2560,2560,163840
21,2,64,2560,2560,163840
22,2,64,2560,2560,163840
23,2,64,2560,2560,163840
24,2,64,2560,2560,163840
25,2,64,2560,2560,163840
26,2,64,2560,2560,163840
27,2,64,2560,2560,163840
28,2,64,2560,2560,163840
29,2,64,2560,2560,163840
30,2,64,2560,2560,163840
31,2,64,2560,2560,163840
32,2,64,2560,2560,163840
33,2,64,2560,2560,163840
34,2,64,2560,2560,163840
35,2,64,2560,2560,163840
36,2,64,2560,2560,163840
37,2,64,2560,2560,163840
38,2,64,2560,2560,163840
39,2,64,2560,2560,163840
40,2,64,2560,2560,163840
41,2,64,2560,2560,163840
42,2,64,2560,2560,163840
43,2,64,2560,2560,163840
44,2,64,2560,2560,163840
45,2,64,2560,2560,163840
46,2,64,2560,2560,163840
47,2,64,2560,2560,163840
48,2,64,2560,2560,163840
49,2,64,2560,2560,163840
50,2,64,2560,2560,163840
51,2,64,2560,2560,163840
52,2,64,2560,2560,163840
53,2,64,2560,2560,163840
54,2,64,2560,2560,163840
55,2,64,2560,2560,163840
56,2,64,2560,2560,163840
57,2,64,2560,2560,163840
58,2,64,2560,2560,163840
59,2,64,2560,2560,163840
60,2,64,2560,2560,163840
61,2,64,2560,2560,163840
62,2,64,2560,2560,163840
63,2,64,2560,2560,163840
64,2,64,2560,2560,163840
65,2,64,2560,2560,163840
66,2,64,2560,2560,163840
67,2,64,2560,2560,163840
68,2,64,2560,2560,163840
69,2,64,2560,2560,163840
70,2,64,2560,2560,163840
71,2,64,2560,2560,163840
72,2,64,2560,2560,163840
73,2,64,2560,2560,163840
74,2,64,2560,2560,163840
75,2,64,2560,2560,163840
76,2,64,2560,2560,163840
77,2,64,2560,2560,163840
78,2,64,2560,2560,163840
79,2,64,2560,2560,163840
80,2,64,2560,2560,163840
