r,h,k,n,infected,msgs
0,5,64,2560,1,64
1,5,64,2560,65,4160
2,5,64,2560,2061,131904
3,5,64,2560,2560,163840
4,5,64,2560,2560,163840
5,5,64,2560,2560,163840
6,5,64,2560,2560,163840
7,5,64,2560,2560,163840
8,5,64,2560,2560,163840
9,5,64,2560,2560,163840
10,5,64,2560,2560,163840
11,5,64,2560,2560,163840
12,5,64,2560,2560,163840
13,5,64,2560,2560,163840
14,5,64,2560,2560,163840
15,5,64,2560,2560,163840
16,5,64,2560,2560,163840
17,5,64,2560,2560,163840
18,5,64,2560,2560,163840
19,5,64,2560,2560,163840
20,5,64,2560,2560,163840
21,5,64,2560,2560,163840
22,5,64,2560,2560,163840
23,5,64,2560,2560,163840
24,5,64,2560,2560,163840
25,5,64,2560,2560,163840
26,5,64,2560,2560,163840
27,5,64,2560,2560,163840
28,5,64,2560,2560,163840
29,5,64,2560,2560,163840
30,5,64,2560,2560,163840
31,5,64,2560,2560,163840
32,5,64,2560,2560,163840
33,5,64,2560,2560,163840
34,5,64,2560,2560,163840
35,5,64,2560,2560,163840
36,5,64,2560,2560,163840
37,5,64,2560,2560,163840
38,5,64,2560,2560,163840
39,5,64,2560,2560,163840
40,5,64,2560,2560,163840
41,5,64,2560,2560,163840
42,5,64,2560,2560,163840
43,5,64,2560,2560,163840
44,5,64,2560,2560,163840
45,5,64,2560,2560,163840
46,5,64,2560,2560,163840
47,5,64,2560,2560,163840
48,5,64,2560,2560,163840
49,5,64,2560,2560,163840
50,5,64,2560,2560,163840
51,5,64,2560,2560,163840
52,5,64,2560,2560,163840
53,5,64,2560,2560,163840
54,5,64,2560,2560,163840
55,5,64,2560,2560,163840
56,5,64,2560,2560,163840
57,5,64,2560,2560,163840
58,5,64,2560,2560,163840
59,5,64,2560,2560,163840
60,5,64,2560,2560,163840
61,5,64,2560,2560,163840
62,5,64,2560,2560,163840
63,5,64,2560,2560,163840
64,5,64,2560,2560,163840
65,5,64,2560,2560,163840
66,5,64,2560,2560,163840
67,5,64,2560,2560,163840
68,5,64,2560,2560,163840
69,5,64,2560,2560,163840
70,5,64,2560,2560,163840
71,5,64,2560,2560,163840
72,5,64,2560,2560,163840
73,5,64,2560,2560,163840
74,5,64,2560,2560,163840
75,5,64,2560,2560,163840
76,5,64,2560,2560,163840
77,5,64,2560,2560,163840
78,5,64,2560,2560,163840
79,5,64,2560,2560,163840
80,5,64,2560,2560,163840
81,5,64,2560,2560,163840
82,5,64,2560,2560,163840
83,5,64,2560,2560,163840
84,5,64,2560,2560,163840
85,5,64,2560,2560,163840
86,5,64,2560,2560,163840
87,5,64,2560,2560,163840
88,5,64,2560,2560,163840
89,5,64,2560,2560,163840
90,5,64,2560,2560,163840
91,5,64,2560,2560,163840
