r,h,k,n,infected,msgs
0,3,32,2560,1,32
1,3,32,2560,32,1024
2,3,32,2560,847,27104
3,3,32,2560,2560,81920
4,3,32,2560,2560,81920
5,3,32,2560,2560,81920
6,3,32,2560,2560,81920
7,3,32,2560,2560,81920
8,3,32,2560,2560,81920
9,3,32,2560,2560,81920
10,3,32,2560,2560,81920
11,3,32,2560,2560,81920
12,3,32,2560,2560,81920
13,3,32,2560,2560,81920
14,3,32,2560,2560,81920
15,3,32,2560,2560,81920
16,3,32,2560,2560,81920
17,3,32,2560,2560,81920
18,3,32,2560,2560,81920
19,3,32,2560,2560,81920
20,3,32,2560,2560,81920
21,3,32,2560,2560,81920
22,3,32,2560,2560,81920
23,3,32,2560,2560,81920
24,3,32,2560,2560,81920
25,3,32,2560,2560,81920
26,3,32,2560,2560,81920
27,3,32,2560,2560,81920
28,3,32,2560,2560,81920
29,3,32,2560,2560,81920
30,3,32,2560,2560,81920
31,3,32,2560,2560,81920
32,3,32,2560,2560,81920
33,3,32,2560,2560,81920
34,3,32,2560,2560,81920
35,3,32,2560,2560,81920
36,3,32,2560,2560,81920
37,3,32,2560,2560,81920
38,3,32,2560,2560,81920
39,3,32,2560,2560,81920
40,3,32,2560,2560,81920
41,3,32,2560,2560,81920
42,3,32,2560,2560,81920
43,3,32,2560,2560,81920
44,3,32,2560,2560,81920
45,3,32,2560,2560,81920
46,3,32,2560,2560,81920
47,3,32,2560,2560,81920
48,3,32,2560,2560,81920
49,3,32,2560,2560,81920
50,3,32,2560,2560,81920
51,3,32,2560,2560,81920
52,3,32,2560,2560,81920
53,3,32,2560,2560,81920
54,3,32,2560,2560,81920
55,3,32,2560,2560,81920
56,3,32,2560,2560,81920
57,3,32,2560,2560,81920
58,3,32,2560,2560,81920
59,3,32,2560,2560,81920
60,3,32,2560,2560,81920
61,3,32,2560,2560,81920
62,3,32,2560,2560,81920
63,3,32,2560,2560,81920
64,3,32,2560,2560,81920
65,3,32,2560,2560,81920
66,3,32,2560,2560,81920
67,3,32,2560,2560,81920
68,3,32,2560,2560,81920
69,3,32,2560,2560,81920
70,3,32,2560,2560,81920
71,3,32,2560,2560,81920
72,3,32,2560,2560,81920
73,3,32,2560,2560,81920
74,3,32,2560,2560,81920
75,3,32,2560,2560,81920
76,3,32,2560,2560,81920
77,3,32,2560,2560,81920
78,3,32,2560,2560,81920
79,3,32,2560,2560,81920
80,3,32,2560,2560,81920
81,3,32,2560,2560,81920
82,3,32,2560,2560,81920
83,3,32,2560,2560,81920
84,3,32,2560,2560,81920
85,3,32,2560,2560,81920
86,3,32,2560,2560,81920
87,3,32,2560,2560,81920
88,3,32,2560,2560,81920
89,3,32,2560,2560,81920
90,3,32,2560,2560,81920
91,3,32,2560,2560,81920
92,3,32,2560,2560,81920
93,3,32,2560,2560,81920
94,3,32,2560,2560,81920
95,3,32,2560,2560,81920
96,3,32,2560,2560,81920
97,3,32,2560,2560,81920
98,3,32,2560,2560,81920
99,3,32,2560,2560,81920
100,3,32,2560,2560,81920
101,3,32,2560,2560,81920
102,3,32,2560,2560,81920
103,3,32,2560,2560,81920
104,3,32,2560,2560,81920
105,3,32,2560,2560,81920
106,3,32,2560,2560,81920
107,3,32,2560,2560,81920
108,3,32,2560,2560,81920
109,3,32,2560,2560,81920
110,3,32,2560,2560,81920
111,3,32,2560,2560,81920
112,3,32,2560,2560,81920
113,3,32,2560,2560,81920
114,3,32,2560,2560,81920
115,3,32,2560,2560,81920
116,3,32,2560,2560,81920
117,3,32,2560,2560,81920
118,3,32,2560,2560,81920
119,3,32,2560,2560,81920
120,3,32,2560,2560,81920
121,3,32,2560,2560,81920
122,3,32,2560,2560,81920
123,3,32,2560,2560,81920
124,3,32,2560,2560,81920
125,3,32,2560,2560,81920
126,3,32,2560,2560,81920
127,3,32,2560,2560,81920
128,3,32,2560,2560,81920
129,3,32,2560,2560,81920
130,3,32,2560,2560,81920
131,3,32,2560,2560,81920
132,3,32,2560,2560,81920
133,3,32,2560,2560,81920
134,3,32,2560,2560,81920
135,3,32,2560,2560,81920
136,3,32,2560,2560,81920
137,3,32,2560,2560,81920
138,3,32,2560,2560,81920
139,3,32,2560,2560,81920
140,3,32,2560,2560,81920
141,3,32,2560,2560,81920
142,3,32,2560,2560,81920
143,3,32,2560,2560,81920
144,3,32,2560,2560,81920
145,3,32,2560,2560,81920
146,3,32,2560,2560,81920
147,3,32,2560,2560,81920
148,3,32,2560,2560,81920
149,3,32,2560,2560,81920
150,3,32,2560,2560,81920
151,3,32,2560,2560,81920
152,3,32,2560,2560,81920
153,3,32,2560,2560,81920
