r,h,k,n,infected,msgs
0,5,64,1280,1,64
1,5,64,1280,65,4160
2,5,64,1280,1241,79424
3,5,64,1280,1280,81920
4,5,64,1280,1280,81920
5,5,64,1280,1280,81920
6,5,64,1280,1280,81920
7,5,64,1280,1280,81920
8,5,64,1280,1280,81920
9,5,64,1280,1280,81920
10,5,64,1280,1280,81920
11,5,64,1280,1280,81920
12,5,64,1280,1280,81920
13,5,64,1280,1280,81920
14,5,64,1280,1280,81920
15,5,64,1280,1280,81920
16,5,64,1280,1280,81920
17,5,64,1280,1280,81920
18,5,64,1280,1280,81920
19,5,64,1280,1280,81920
20,5,64,1280,1280,81920
21,5,64,1280,1280,81920
22,5,64,1280,1280,81920
23,5,64,1280,1280,81920
24,5,64,1280,1280,81920
25,5,64,1280,1280,81920
26,5,64,1280,1280,81920
27,5,64,1280,1280,81920
28,5,64,1280,1280,81920
29,5,64,1280,1280,81920
30,5,64,1280,1280,81920
31,5,64,1280,1280,81920
32,5,64,1280,1280,81920
33,5,64,1280,1280,81920
34,5,64,1280,1280,81920
35,5,64,1280,1280,81920
36,5,64,1280,1280,81920
37,5,64,1280,1280,81920
38,5,64,1280,1280,81920
39,5,64,1280,1280,81920
40,5,64,1280,1280,81920
41,5,64,1280,1280,81920
42,5,64,1280,1280,81920
43,5,64,1280,1280,81920
44,5,64,1280,1280,81920
45,5,64,1280,1280,81920
46,5,64,1280,1280,81920
47,5,64,1280,1280,81920
48,5,64,1280,1280,81920
49,5,64,1280,1280,81920
50,5,64,1280,1280,81920
51,5,64,1280,1280,81920
52,5,64,1280,1280,81920
53,5,64,1280,1280,81920
54,5,64,1280,1280,81920
55,5,64,1280,1280,81920
56,5,64,1280,1280,81920
57,5,64,1280,1280,81920
58,5,64,1280,1280,81920
59,5,64,1280,1280,81920
60,5,64,1280,1280,81920
61,5,64,1280,1280,81920
62,5,64,1280,1280,81920
63,5,64,1280,1280,81920
64,5,64,1280,1280,81920
65,5,64,1280,1280,81920
66,5,64,1280,1280,81920
67,5,64,1280,1280,81920
68,5,64,1280,1280,81920
69,5,64,1280,1280,81920
70,5,64,1280,1280,81920
71,5,64,1280,1280,81920
72,5,64,1280,1280,81920
73,5,64,1280,1280,81920
74,5,64,1280,1280,81920
75,5,64,1280,1280,81920
76,5,64,1280,1280,81920
77,5,64,1280,1280,81920
78,5,64,1280,1280,81920
79,5,64,1280,1280,81920
80,5,64,1280,1280,81920
81,5,64,1280,1280,81920
82,5,64,1280,1280,81920
83,5,64,1280,1280,81920
84,5,64,1280,1280,81920
85,5,64,1280,1280,81920
86,5,64,1280,1280,81920
87,5,64,1280,1280,81920
88,5,64,1280,1280,81920
89,5,64,1280,1280,81920
90,5,64,1280,1280,81920
91,5,64,1280,1280,81920
92,5,64,1280,1280,81920
93,5,64,1280,1280,81920
94,5,64,1280,1280,81920
95,5,64,1280,1280,81920
96,5,64,1280,1280,81920
97,5,64,1280,1280,81920
98,5,64,1280,1280,81920
99,5,64,1280,1280,81920
100,5,64,1280,1280,81920
101,5,64,1280,1280,81920
102,5,64,1280,1280,81920
103,5,64,1280,1280,81920
104,5,64,1280,1280,81920
105,5,64,1280,1280,81920
106,5,64,1280,1280,81920
107,5,64,1280,1280,81920
108,5,64,1280,1280,81920
109,5,64,1280,1280,81920
110,5,64,1280,1280,81920
111,5,64,1280,1280,81920
112,5,64,1280,1280,81920
113,5,64,1280,1280,81920
114,5,64,1280,1280,81920
115,5,64,1280,1280,81920
116,5,64,1280,1280,81920
117,5,64,1280,1280,81920
118,5,64,1280,1280,81920
119,5,64,1280,1280,81920
120,5,64,1280,1280,81920
121,5,64,1280,1280,81920
122,5,64,1280,1280,81920
123,5,64,1280,1280,81920
124,5,64,1280,1280,81920
125,5,64,1280,1280,81920
126,5,64,1280,1280,81920
127,5,64,1280,1280,81920
128,5,64,1280,1280,81920
129,5,64,1280,1280,81920
130,5,64,1280,1280,81920
131,5,64,1280,1280,81920
132,5,64,1280,1280,81920
133,5,64,1280,1280,81920
134,5,64,1280,1280,81920
135,5,64,1280,1280,81920
136,5,64,1280,1280,81920
137,5,64,1280,1280,81920
138,5,64,1280,1280,81920
139,5,64,1280,1280,81920
140,5,64,1280,1280,81920
141,5,64,1280,1280,81920
142,5,64,1280,1280,81920
143,5,64,1280,1280,81920
144,5,64,1280,1280,81920
145,5,64,1280,1280,81920
146,5,64,1280,1280,81920
147,5,64,1280,1280,81920
148,5,64,1280,1280,81920
149,5,64,1280,1280,81920
150,5,64,1280,1280,81920
151,5,64,1280,1280,81920
152,5,64,1280,1280,81920
153,5,64,1280,1280,81920
154,5,64,1280,1280,81920
155,5,64,1280,1280,81920
156,5,64,1280,1280,81920
157,5,64,1280,1280,81920
158,5,64,1280,1280,81920
159,5,64,1280,1280,81920
160,5,64,1280,1280,81920
161,5,64,1280,1280,81920
162,5,64,1280,1280,81920
163,5,64,1280,1280,81920
164,5,64,1280,1280,81920
165,5,64,1280,1280,81920
166,5,64,1280,1280,81920
167,5,64,1280,1280,81920
168,5,64,1280,1280,81920
169,5,64,1280,1280,81920
170,5,64,1280,1280,81920
171,5,64,1280,1280,81920
172,5,64,1280,1280,81920
173,5,64,1280,1280,81920
174,5,64,1280,1280,81920
175,5,64,1280,1280,81920
176,5,64,1280,1280,81920
177,5,64,1280,1280,81920
178,5,64,1280,1280,81920
179,5,64,1280,1280,81920
180,5,64,1280,1280,81920
181,5,64,1280,1280,81920
182,5,64,1280,1280,81920
183,5,64,1280,1280,81920
184,5,64,1280,1280,81920
185,5,64,1280,1280,81920
186,5,64,1280,1280,81920
187,5,64,1280,1280,81920
